symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
BAH,TE,AI3,technology,ai_consulting,US0995021062,BOOZ ALLEN HAMILTON HOLDINGS,11,"Proporciona servicios de consultoría centrados en la inteligencia artificial, ayudando a los clientes con la estrategia, implementación y optimización de soluciones de IA.",,,80968828,USD,SMART,STK
PLUS,TE,AI3,technology,ai_consulting,US2942681071,EPLUS INC,12,"Ofrece servicios especializados de consultoría en inteligencia artificial, guiando a las empresas en el desarrollo e integración de estrategias y tecnologías de IA.",,,6857779,USD,SMART,STK
IT,TE,AI3,technology,ai_consulting,US3666511072,GARTNER INC,13,"Ofrece servicios de investigación y asesoría, guiando a las organizaciones en el desarrollo e implementación de estrategias y soluciones de inteligencia artificial.","La exposición de Gartner a la consultoría de IA es evidente a través de su papel como experto líder en el campo, asesorando tanto a empresas de usuarios finales sobre aplicaciones de IA como a proveedores de tecnología sobre cómo navegar por el mercado de la IA. La empresa declara explícitamente su experiencia en ayudar a los clientes a determinar los mejores usos y casos de negocio para la IA, y aprovecha la IA internamente para respaldar sus operaciones. Además, Gartner reconoce la importancia de mantenerse al día con los avances tecnológicos en inteligencia artificial, lo que refleja su compromiso de seguir siendo relevante en este panorama en rápida evolución.","[{'name': 'it-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/it-Q324-10-Q.html'}]",4457287,USD,SMART,STK
NSIT,TE,AI3,technology,ai_consulting,US45765U1034,INSIGHT ENTERPRISES INC,14,Proporciona servicios de consultoría para ayudar a los clientes a implementar y aprovechar soluciones de inteligencia artificial.,"El compromiso de Insight con la Consultoría de IA se destaca por sus servicios de IA de ciclo de vida completo, que incluyen consultoría, implementación, capacitación, gobernanza y servicios administrados. La empresa ha sido reconocida por Gartner como una visionaria emergente en consultoría e implementación de IA generativa. Insight ayuda a los clientes a navegar por las complejidades de la adopción de IA Gen, desde la preparación y gobernanza de datos hasta la seguridad, escalabilidad y ROI, y tiene un historial de desarrollo de soluciones de IA personalizadas, como la automatización de la revisión de documentos legales utilizando el servicio Microsoft Azure OpenAI para un cliente minorista importante.",,4431267,USD,SMART,STK
TASK,TE,AI3,technology,ai_consulting,US87652V1098,TASKUS INC-A,15,Ofrece servicios de consultoría que incorporan inteligencia artificial para optimizar las operaciones de los clientes y ofrecer soluciones mejoradas de experiencia del cliente.,,,495923502,USD,SMART,STK
CNXC,TE,AI3,technology,ai_consulting,US20602D1019,CONCENTRIX CORP,16,Proporciona servicios de consultoría de IA como parte de sus operaciones comerciales.,"Concentrix demuestra su enfoque en Consultoría de IA a través de la entrega de soluciones de IA alineadas con las necesidades del cliente, utilizando tanto socios tecnológicos de terceros como su propia suite de productos iX, incluido el lanzamiento de iX Hero, una aplicación impulsada por IA Agentic. La empresa está ganando programas que combinan consultoría, integración de TI, experiencia en CX e IA, con soluciones de IA adyacentes experimentando un crecimiento más rápido que la empresa en general. Esta estrategia para ofrecer soluciones de IA pragmáticas y desplegables ha posicionado a Concentrix por delante de las empresas tradicionales en la construcción y el despliegue de iniciativas de IA para empresas, destacando aún más su experiencia en la implementación de tecnologías de IA para generar valor para los clientes.","[{'name': 'cnxc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cnxc-FY24-10-K.html'}]",455425136,USD,SMART,STK
DXC,TE,AI3,technology,ai_consulting,US23355L1061,DXC TECHNOLOGY CO,17,"Ofrece experiencia en consultoría de IA, asistiendo a organizaciones en el desarrollo de estrategias e implementación de tecnologías de inteligencia artificial.","El enfoque de DXC en la consultoría de IA se destaca por su reconocimiento por parte de Gartner como Líder Emergente en Servicios de Consultoría e Implementación para IA Generativa. DXC ayuda a los clientes a moverse más rápido y operar de manera más inteligente a través de capacidades avanzadas de IA, integrando la IA en sus estrategias y operaciones comerciales. La empresa se enfoca en ayudar a los clientes a implementar GenAI a escala, enfatizando la velocidad, la seguridad y el valor comercial.",,268960158,USD,SMART,STK
TTEK,TE,AI3,technology,ai_consulting,US88162G1031,TETRA TECH INC,18,Proporciona servicios de consultoría centrados en soluciones de inteligencia artificial en diversos sectores.,,,275920,USD,SMART,STK
G,TE,AI3,technology,ai_consulting,BMG3922B1072,GENPACT LTD,19,Proporciona servicios de asesoramiento e implementación a clientes que buscan aprovechar la inteligencia artificial para la transformación empresarial y la eficiencia operativa.,"El AI Value Studio de Genpact ofrece servicios de consultoría de IA, ayudando a las empresas a identificar casos de uso de alto impacto y crear hojas de ruta personalizadas. Este estudio utiliza experimentados arquitectos de IA de Genpact, combinando experiencia en procesos, industria y tecnología para ofrecer servicios de consultoría de IA. El AI Value Studio indica un número dedicado de empleados centrado en la consultoría de IA, ofreciendo servicios de consultoría de IA a través de su estudio de valor de IA.",,45411028,USD,SMART,STK
ASGN,TE,AI3,technology,ai_consulting,US00191U1025,ASGN INC,20,"Ofrece servicios de consultoría centrados en la inteligencia artificial, ayudando a los clientes con la implementación estratégica y soluciones avanzadas.","ASGN está involucrada en consultoría de IA, como lo demuestra su provisión de un conjunto integral de servicios de IA, que van desde asesoramiento y alfabetización hasta el desarrollo y la construcción de arquitecturas agénticas. Estos compromisos de consultoría se centran en soluciones de IA y datos, incluida la IA Gen, y están dirigidos a permitir ahorros de costos y eficiencia para los clientes. El equipo de consultores, arquitectos y líderes de soluciones de capacidades cruzadas de ASGN ha sido contratado por importantes firmas de servicios profesionales para repensar el proceso y el diseño técnico de algunos de sus flujos de trabajo clave de gestión del conocimiento, lo que indica un papel significativo en el espacio de la consultoría de IA.",,308729732,USD,SMART,STK
FCN,TE,AI3,technology,ai_consulting,US3029411093,FTI CONSULTING INC,21,"Ofrece servicios de asesoramiento e implementación en consultoría de inteligencia artificial, asistiendo a clientes con estrategias y soluciones en este dominio.",,,6604491,USD,SMART,STK
ICFI,TE,AI3,technology,ai_consulting,US44925C1036,ICF INTERNATIONAL INC,22,Ofrece servicios en el sector de Consultoría de IA.,"El enfoque de ICF en la consultoría de IA implica la combinación de su profundo conocimiento institucional de los mercados y datos de los clientes con una experiencia probada en IA, código abierto, nativo de la nube y plataformas de código bajo y sin código disponibles comercialmente. Esta combinación les permite ofrecer soluciones altamente funcionales y rentables diseñadas para satisfacer las demandas cambiantes de sus clientes. Al aprovechar su experiencia en IA, ICF tiene como objetivo generar un mayor valor e impacto para los contribuyentes a través de estas soluciones personalizadas.","[{'name': 'icfi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/icfi-Q225-10-Q.html'}, {'name': 'icfi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/icfi-Q125-10-Q.html'}]",40784309,USD,SMART,STK
INOD,TE,AI3,technology,ai_consulting,US4576422053,INNODATA INC,23,Proporciona servicios y experiencia que permiten a las organizaciones desarrollar e implementar estrategias y soluciones de inteligencia artificial.,"Innodata ofrece servicios de asesoramiento e integración para empresas centradas en la construcción de sistemas nativos de IA. Sus consultores colaboran con estas empresas para determinar la secuencia óptima de operaciones y estrategias para el control de datos, con el objetivo de aprovechar las oportunidades de IA. Innodata también utiliza su experiencia de trabajar con grandes empresas tecnológicas para asesorar a las empresas sobre el uso efectivo de tecnologías de IA, centrándose en la integración de nuevas tecnologías en los flujos de trabajo existentes para mejorar la eficiencia.",,4813508,USD,SMART,STK
NOW,TE,AI3,technology,ai_consulting,US81762P1021,SERVICENOW INC,24,Involucra el tema de Consultoría de IA.,"La participación de ServiceNow en la consultoría de IA es evidente a través de sus esfuerzos para ayudar a los clientes en la transformación y despliegue de IA, incluidas las iniciativas de co-innovación. El programa NowNext AI está diseñado para acelerar la adopción de IA, con ServiceNow desplegando equipos de ingeniería para agilizar la implementación del cliente e identificar casos de uso relevantes. Además, ServiceNow está ayudando a los clientes a gobernar y obtener valor de la IA agentiva, al mismo tiempo que desarrolla soluciones de próxima generación para modernizar instalaciones, lo que sugiere servicios de consultoría relacionados con la integración y estrategia de IA, todo ello habilitado por la Plataforma Now como plataforma de IA para la transformación digital.","[{'name': 'now-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/now-FY24-10-K.html'}]",109911821,USD,SMART,STK
