symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
JCI,ENE,real estate,energy_efficient_homes,IE00BY7QL619,JOHNSON CONTROLS INTERNATION,11,Ofrece tecnologías y servicios integrales diseñados para mejorar el rendimiento energético y la calidad ambiental en edificios residenciales.,,244164913,USD,SMART,STK,
MTH,ENE,real estate,energy_efficient_homes,US59001A1025,MERITAGE HOMES CORP,12,"Desarrolla y construye viviendas con un fuerte énfasis en la eficiencia energética, con el objetivo de reducir los costos de servicios públicos y el impacto ambiental para los residentes.","La empresa enfatiza las viviendas energéticamente eficientes como un componente de su estrategia para aumentar la satisfacción del propietario, a menudo junto con funciones de automatización del hogar. Esto se refleja en sus iniciativas estratégicas, donde declaran explícitamente su objetivo de ofrecer viviendas más saludables y energéticamente eficientes. La empresa también reconoce el impacto de las viviendas energéticamente eficientes a través de discusiones sobre créditos fiscales de energía, aunque el número decreciente de viviendas que califican para estos créditos sugiere un impacto fluctuante. Si bien la eficiencia energética es una característica notable, aparece como una de varias iniciativas, lo que indica un enfoque secundario en lugar de principal.",2586041,USD,SMART,STK,"[{'name': 'mth-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q225-10-Q.html'}, {'name': 'mth-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mth-FY24-10-K.html'}, {'name': 'mth-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q324-10-Q.html'}, {'name': 'mth-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mth-Q125-10-Q.html'}]"
003550,ENE,real estate,energy_efficient_homes,KR7003550001,LG CORP,13,Desarrolla y suministra una amplia gama de electrodomésticos y soluciones diseñadas para mejorar la eficiencia energética en entornos residenciales.,,17382442,KRW,KSE,STK,
KBH,ENE,real estate,energy_efficient_homes,US48666K1097,KB HOME,14,"Construye hogares diseñados con características de eficiencia energética, con el objetivo de reducir los costos de servicios públicos para los propietarios y minimizar el impacto ambiental.","El compromiso de KB Home con las viviendas energéticamente eficientes se evidencia en su reconocimiento de los créditos fiscales de la Sección 45L, que se obtienen principalmente de la construcción de este tipo de viviendas. La empresa está construyendo viviendas que califican para la certificación ENERGY STAR, y ha optado por construir viviendas en muchos mercados a partir de 2025 bajo una versión alternativa de ENERGY STAR, lo que le permite mantener una alta eficiencia energética sin calificar para los créditos fiscales de la Sección 45L. Sin embargo, se ha producido una disminución en los créditos fiscales de la Sección 45L debido a un aumento de los estándares de calificación de eficiencia energética, particularmente en California, y a la decisión de la empresa de priorizar la certificación ENERGY STAR sobre los créditos fiscales de la Sección 45L debido a consideraciones de costos, lo que sugiere un ajuste estratégico en su enfoque de construcción energéticamente eficiente.",8772,USD,SMART,STK,"[{'name': 'kbh-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kbh-FY24-10-K.html'}, {'name': 'kbh-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbh-Q324-10-Q.html'}, {'name': 'kbh-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbh-Q125-10-Q.html'}, {'name': 'kbh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kbh-Q225-10-Q.html'}]"
IBP,ENE,real estate,energy_efficient_homes,US45780R1014,INSTALLED BUILDING PRODUCTS,15,Proporciona servicios de instalación para diversos productos de construcción que contribuyen a la eficiencia energética de las viviendas residenciales.,"El aislamiento es un componente crítico en la construcción de viviendas y estructuras comerciales energéticamente eficientes, y la empresa es un instalador líder de productos de aislamiento. La empresa se asegura de que el aislamiento se instale correctamente para lograr la conservación y eficiencia energética deseadas. Al instalar productos de aislamiento, la empresa ayuda a aumentar la conservación de energía, desempeñando un papel en la construcción de viviendas energéticamente eficientes.",143979238,USD,SMART,STK,"[{'name': 'ibp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ibp-FY24-10-K.html'}]"
6503,ENE,real estate,energy_efficient_homes,JP3902400005,MITSUBISHI ELECTRIC CORP,16,Desempeña un papel importante en el tema de los Hogares de Eficiencia Energética.,,13905675,JPY,SMART,STK,
6752,ENE,real estate,energy_efficient_homes,JP3866800000,PANASONIC HOLDINGS CORP,17,"Proporciona una variedad de electrodomésticos, materiales de construcción y soluciones de vivienda que contribuyen a la conservación y eficiencia energética en entornos residenciales.",,13905699,JPY,SMART,STK,
HON,ENE,real estate,energy_efficient_homes,US4385161066,HONEYWELL INTERNATIONAL INC,18,Proporciona una amplia gama de soluciones para el hogar inteligente y tecnologías de construcción que mejoran la eficiencia energética y reducen el consumo en entornos residenciales.,,4350,USD,SMART,STK,
AOS,ENE,real estate,energy_efficient_homes,US8318652091,SMITH (A.O.) CORP,19,Se enfoca en proporcionar soluciones de calentamiento de agua y tratamiento de agua energéticamente eficientes que contribuyen a la conservación general de energía y la sostenibilidad de las propiedades residenciales.,,12225,USD,SMART,STK,
GNRC,ENE,real estate,energy_efficient_homes,US3687361044,GENERAC HOLDINGS INC,20,"Ofrece soluciones de energía para el hogar, que incluyen sistemas de energía de respaldo y almacenamiento de energía, que mejoran la resiliencia y la eficiencia energética residencial.",,72529783,USD,SMART,STK,
LII,ENE,real estate,energy_efficient_homes,US5261071071,LENNOX INTERNATIONAL INC,21,"Contribuye a hogares energéticamente eficientes al proporcionar soluciones de calefacción, ventilación y aire acondicionado diseñadas para optimizar el consumo de energía residencial.",,6608113,USD,SMART,STK,
DHI,ENE,real estate,energy_efficient_homes,US23331A1097,DR HORTON INC,22,Construye viviendas que incorporan características de ahorro de energía y prácticas de construcción sostenible para mejorar la eficiencia.,,268627,USD,SMART,STK,
CSL,ENE,real estate,energy_efficient_homes,US1423391002,CARLISLE COS INC,23,Proporciona soluciones que contribuyen al desarrollo y la funcionalidad de viviendas energéticamente eficientes.,"Carlisle Companies enfatiza su papel como fabricante y proveedor líder de productos y soluciones innovadores para la envolvente de edificios diseñados para edificios más eficientes energéticamente. A través de sus negocios Carlisle Weatherproofing Technologies (CWT) y Carlisle Construction Materials (CCM), la compañía ofrece productos y soluciones ambientalmente responsables. CWT se enfoca específicamente en la producción de soluciones para la envolvente de edificios que mejoran la eficiencia energética y la sostenibilidad tanto en aplicaciones comerciales como residenciales. Este compromiso con las soluciones de edificios energéticamente eficientes subraya la participación de la compañía en la temática de hogares energéticamente eficientes.",6120,USD,SMART,STK,"[{'name': 'csl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/csl-FY24-10-K.html'}, {'name': 'csl-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csl-Q324-10-Q.html'}]"
LEN,ENE,real estate,energy_efficient_homes,US5260571048,LENNAR CORP-A,24,Desarrolla y ofrece propiedades residenciales que incorporan diseños y características de eficiencia energética.,,9091,USD,SMART,STK,
MAS,ENE,real estate,energy_efficient_homes,US5745991068,MASCO CORP,25,"Proporciona productos de construcción, incluidos ventanas y accesorios de plomería que ahorran agua, que mejoran la eficiencia térmica y la conservación del agua en entornos residenciales.",,9360,USD,SMART,STK,
WHR,ENE,real estate,energy_efficient_homes,US9633201069,WHIRLPOOL CORP,26,Contribuye al desarrollo de hogares energéticamente eficientes a través de la producción de electrodomésticos diseñados para un menor consumo de energía.,,13751,USD,SMART,STK,
PHM,ENE,real estate,energy_efficient_homes,US7458671010,PULTE GROUP INC,27,"Construye viviendas diseñadas para ser eficientes energéticamente, contribuyendo a la reducción del consumo de energía y el impacto ambiental.",,11109,USD,SMART,STK,
ALRM,ENE,real estate,energy_efficient_homes,US0116421050,ALARM.COM HOLDINGS INC,28,Ofrece soluciones de automatización del hogar inteligente y gestión de energía que optimizan el consumo de recursos para entornos residenciales más eficientes.,,198500835,USD,SMART,STK,
TSLA,ENE,real estate,energy_efficient_homes,US88160R1014,TESLA INC,29,Proporciona soluciones de generación de energía solar y almacenamiento de baterías que permiten a los propietarios reducir la dependencia de las redes tradicionales y optimizar el consumo de energía para una mayor eficiencia.,,76792991,USD,SMART,STK,
REZI,ENE,real estate,energy_efficient_homes,US76118Y1047,RESIDEO TECHNOLOGIES INC,30,"Proporciona soluciones para el hogar inteligente, incluidos termostatos y controles de confort, que permiten a los propietarios optimizar el uso de energía y mejorar la eficiencia de sus residencias.",,336517319,USD,SMART,STK,
FSLR,ENE,real estate,energy_efficient_homes,US3364331070,FIRST SOLAR INC,31,Suministra módulos solares que contribuyen a la eficiencia energética de las propiedades residenciales al permitir la generación de energía renovable in situ.,,41622169,USD,SMART,STK,
WTS,ENE,real estate,energy_efficient_homes,US9427491025,WATTS WATER TECHNOLOGIES-A,32,Proporciona soluciones de gestión del agua y calefacción que mejoran la eficiencia energética en entornos residenciales.,,2009894,USD,SMART,STK,
ED,ENE,real estate,energy_efficient_homes,US2091151041,CONSOLIDATED EDISON INC,33,Apoya hogares energéticamente eficientes a través de diversos programas e iniciativas destinados a reducir el consumo de energía entre su base de clientes.,"La NYSPSC emitió órdenes en mayo de 2025 que establecieron presupuestos para los programas de eficiencia energética y electrificación de edificios de CECONY y O&R para 2026-2030, con presupuestos agregados de aproximadamente $2,140 millones y $110 millones, respectivamente. Además, el informe inaugural anual de CECONY sobre Inversiones en Comunidades Desfavorecidas resume los impactos de las inversiones en comunidades desfavorecidas, incluidas las iniciativas de electrificación de edificios y eficiencia energética. Estas iniciativas e inversiones demuestran la participación de la compañía en la promoción de hogares energéticamente eficientes.",6691,USD,SMART,STK,"[{'name': 'ed-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ed-Q324-10-Q.html'}]"
CVCO,ENE,real estate,energy_efficient_homes,US1495681074,CAVCO INDUSTRIES INC.,34,Contribuye al tema de los Hogares Eficientes Energéticamente.,"La empresa demuestra su enfoque en viviendas energéticamente eficientes a través de varias iniciativas, que incluyen la construcción de viviendas diseñadas para fuentes de energía alternativas como la solar y la creación de envolventes energéticamente eficientes utilizando materiales renovables. Este compromiso se ve respaldado aún más por iniciativas de construcción ecológica destinadas a reducir los costos de los servicios públicos para los compradores de viviendas modernos. La empresa también se beneficia de créditos fiscales relacionados con la venta de viviendas energéticamente eficientes y créditos Energy Star, lo que pone de relieve los incentivos financieros asociados con sus prácticas de construcción energéticamente eficientes.",18844613,USD,SMART,STK,"[{'name': 'cvco-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvco-Q126-10-Q.html'}, {'name': 'cvco-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvco-Q225-10-Q.html'}, {'name': 'cvco-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvco-Q325-10-Q.html'}, {'name': 'cvco-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cvco-FY25-10-K.html'}]"
EXC,ENE,real estate,energy_efficient_homes,US30161N1019,EXELON CORP,35,La participación en el tema de Hogares de Eficiencia Energética se refleja en el enfoque operativo de la empresa.,,11000,USD,SMART,STK,
NRG,ENE,real estate,energy_efficient_homes,US6293775085,NRG ENERGY INC,36,Ofrece soluciones y servicios energéticos que apoyan el desarrollo y la operación de propiedades residenciales energéticamente eficientes.,"El enfoque de NRG en la convergencia de la energía y la automatización inteligente en los hogares es evidente en su estrategia para maximizar el valor para los accionistas. La empresa ofrece soluciones innovadoras para el hogar y suministra gas, electricidad y soluciones para hogares inteligentes a millones de clientes residenciales. Esto incluye interactuar con clientes que han pasado a hogares inteligentes, ofreciendo nuevas tecnologías como termostatos y electrodomésticos inteligentes que brindan a las personas un mayor control sobre su uso de electricidad.",10188791,USD,SMART,STK,"[{'name': 'nrg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nrg-Q125-10-Q.html'}, {'name': 'nrg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nrg-FY24-10-K.html'}]"
CMS,ENE,real estate,energy_efficient_homes,US1258961002,CMS ENERGY CORP,37,Contribuye al avance de hogares energéticamente eficientes a través de diversos programas e iniciativas relacionadas con el consumo de energía.,,5840,USD,SMART,STK,
