symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType
VLO,ENE_12,energy and utilities,energy_exports,US91913Y1001,VALERO ENERGY CORP,11,"Produce y exporta productos de petróleo refinado, sirviendo a mercados internacionales con diversos recursos energéticos.","Valero participa en exportaciones de energía, particularmente a través de la exportación de productos refinados. La compañía se beneficia de una fuerte demanda de exportación, especialmente de destilados de la Costa del Golfo de EE. UU., lo que impacta significativamente los niveles de inventario. La demanda de combustible de transporte sigue siendo sólida tanto en los EE. UU. como en los mercados de exportación típicos, con oportunidades de exportación abiertas a América Latina y Europa debido a tarifas de flete favorables. Valero también monitorea los balances globales de oferta y demanda, incluido el impacto de los eventos geopolíticos en los flujos comerciales, lo que implica una conciencia de las dinámicas energéticas internacionales.","[{'name': 'vlo-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vlo-FY24-10-K.html'}]",13497,USD,SMART,STK
COP,ENE_12,energy and utilities,energy_exports,US20825C1045,CONOCOPHILLIPS,12,Contribuye significativamente al suministro energético mundial a través de la producción y exportación de petróleo y gas natural.,"ConocoPhillips participa en exportaciones de energía a través de su cartera global de GNL, que incluye acuerdos que brindan acceso a los mercados de gas natural europeos y asiáticos. Estos acuerdos incluyen la obtención de capacidad de regasificación en la terminal de GNL de Zeebrugge en Bélgica y acuerdos de venta de GNL a largo plazo en Asia, algunos de los cuales comienzan en 2027. La producción de Lower 48 de la empresa también tiene acceso a mercados nacionales y de exportación, y transportan y comercializan petróleo crudo, betún, gas natural, GNL y líquidos del gas natural (LGN) en todo el mundo.","[{'name': 'cop-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q324-10-Q.html'}, {'name': 'cop-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cop-FY24-10-K.html'}]",10885,USD,SMART,STK
OKE,ENE_12,energy and utilities,energy_exports,US6826801036,ONEOK INC,13,"Opera una extensa infraestructura de oleoductos que transporta gas natural y líquidos de gas natural desde importantes cuencas de producción hasta instalaciones de exportación, contribuyendo significativamente a la entrega de recursos energéticos de EE. UU. a los mercados internacionales.","ONEOK está significativamente involucrada en las exportaciones de energía a través de varias iniciativas clave. La compañía ha formado empresas conjuntas con MPLX LP para construir una terminal de exportación de gas licuado de petróleo en Texas City, Texas, con una capacidad de 400 MBbl/d, complementada por un nuevo oleoducto desde Mont Belvieu. Este proyecto está respaldado por el crecimiento esperado de NGL en el sistema de ONEOK, alineándose con su enfoque estratégico de 'del pozo al agua' para proporcionar una solución totalmente integrada para sus productos. Además, los activos de ONEOK en Luisiana ofrecen conectividad directa a los principales exportadores de GNL y clientes industriales, mejorando su oferta de servicios con exportaciones de GLP.","[{'name': 'oke-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/oke-FY24-10-K.html'}, {'name': 'oke-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/oke-Q125-10-Q.html'}]",10794,USD,SMART,STK
TRGP,ENE_12,energy and utilities,energy_exports,US87612G1013,TARGA RESOURCES CORP,14,"Facilita el procesamiento y transporte de gas natural y líquidos de gas natural, apoyando su exportación a mercados internacionales.","Targa Resources participa en exportaciones de energía, principalmente a través de su negocio de exportación de GLP en Galena Park, donde las cargas han promediado entre 12.8 y 13.4 millones de barriles por mes. La compañía brinda servicios a exportadores de GLP, incluyendo transporte, almacenamiento, fraccionamiento y terminales de NGL y productos de NGL dentro de su segmento de Logística y Transporte. Para expandir sus capacidades de exportación, Targa está llevando a cabo una expansión para eliminar cuellos de botella en la exportación de GLP que se espera que esté en servicio y una expansión mayor de exportación de GLP para aumentar la capacidad de carga a aproximadamente 19 millones de barriles por mes.","[{'name': 'trgp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trgp-Q225-10-Q.html'}, {'name': 'trgp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trgp-Q324-10-Q.html'}, {'name': 'trgp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trgp-Q125-10-Q.html'}, {'name': 'trgp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/trgp-FY24-10-K.html'}]",81671838,USD,SMART,STK
WMB,ENE_12,energy and utilities,energy_exports,US9694571004,WILLIAMS COS INC,15,"Facilita el transporte y procesamiento de gas natural, desempeñando un papel crucial en la habilitación de las exportaciones de energía de EE. UU., particularmente gas natural licuado (GNL) a mercados internacionales.",,,13805,USD,SMART,STK
MPC,ENE_12,energy and utilities,energy_exports,US56585A1025,MARATHON PETROLEUM CORP,16,"Se dedica al refinado y comercialización de productos petrolíferos, contribuyendo a la cadena de suministro global a través de la exportación de combustibles y otras materias primas energéticas refinadas.","La participación de MPLX en las exportaciones de energía es evidente en su posicionamiento estratégico para apoyar a los clientes productores en medio de la creciente demanda de exportaciones de GNL. La compañía aprovecha su cadena de valor integrada para lograr un crecimiento rentable a través de varios canales de venta, incluidas las ventas de exportación. MPLX está bien posicionada para capitalizar esta demanda, apoyando los planes de desarrollo de sus clientes productores.",,89495776,USD,SMART,STK
PSX,ENE_12,energy and utilities,energy_exports,US7185461040,PHILLIPS 66,17,"Procesa, transporta y comercializa productos refinados y líquidos de gas natural para el consumo internacional, contribuyendo a las exportaciones mundiales de energía.",,,105669270,USD,SMART,STK
STNG,ENE_12,energy and utilities,energy_exports,MHY7542C1306,SCORPIO TANKERS INC,18,Facilita las exportaciones mundiales de energía a través del transporte marítimo de petróleo crudo y productos petrolíferos refinados.,,,349869083,USD,SMART,STK
ENI,ENE_12,energy and utilities,energy_exports,IT0003132476,ENI SPA,19,"Es un importante exportador mundial de petróleo crudo y gas natural, desempeñando un papel clave en las cadenas de suministro de energía internacionales y contribuyendo a la disponibilidad energética mundial.",,,29816844,EUR,SMART,STK
EOG,ENE_12,energy and utilities,energy_exports,US26875P1012,EOG RESOURCES INC,20,"Contribuye a las exportaciones mundiales de energía a través de su sustancial producción de petróleo crudo, gas natural y líquidos de gas natural.",,,6890,USD,SMART,STK
BTU,ENE_12,energy and utilities,energy_exports,US7045511000,PEABODY ENERGY CORP,21,"Se dedica a la exportación de recursos energéticos, principalmente carbón, a los mercados internacionales.","La participación de Peabody Energy en el tema de Exportaciones de Energía es evidente a través de su plataforma operativa marítima, que se centra principalmente en la exportación, sirviendo a clientes en varios países. La empresa participa activamente en los mercados de carbón térmico marítimo, con una porción significativa de su carbón térmico y metalúrgico vendido internacionalmente, aunque también se vende algo dentro de Australia. Además, la participación de la empresa se ve subrayada por las discusiones sobre exportaciones de GNL, mercados de carbón marítimo y la demanda de mercados clave como Japón, China e India, así como el impacto de las medidas de EE. UU. para aumentar las exportaciones de GNL en el suministro interno de gas natural.","[{'name': 'btu-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/btu-FY24-10-K.html'}]",271303334,USD,SMART,STK
CME,ENE_12,energy and utilities,energy_exports,US12572Q1058,CME GROUP INC,22,"Ofrece herramientas de gestión de riesgos y descubrimiento de precios para materias primas energéticas, que son cruciales para las actividades globales de exportación de energía.","CME se beneficia de que EE. UU. exporta cantidades récord de energía, lo que está generando resultados récord en todo el complejo de materias primas, específicamente en agricultura, energía y metales. Este aumento en las exportaciones de energía contribuye a ingresos récord para CME, destacando la importancia de los mercados de referencia en el sector energético.",,45127739,USD,SMART,STK
CQP,ENE_12,energy and utilities,energy_exports,US16411Q1013,CHENIERE ENERGY PARTNERS LP,23,"Se dedica a la exportación de gas natural licuado, facilitando el comercio mundial de energía a través de sus operaciones terminales.","La participación de la empresa en Exportaciones de Energía es evidente a través de la propiedad y operación de una instalación de licuefacción y exportación de gas natural en Sabine Pass, Luisiana. La empresa exporta activamente GNL a diversas entidades en todo el mundo, incluidas empresas energéticas integradas, servicios públicos y empresas de comercialización de energía. En apoyo de esto, la empresa ha exportado más de 195 millones de toneladas de GNL, abarcando aproximadamente 2.840 cargas de GNL acumuladas. Además, su dedicación a la expansión de sus capacidades de exportación se demuestra en sus solicitudes al Departamento de Energía para la autorización de exportar GNL a países con y sin TLC.","[{'name': 'cqp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cqp-FY24-10-K.html'}]",43502814,USD,SMART,STK
EQT,ENE_12,energy and utilities,energy_exports,US26884L1098,EQT CORP,24,"Como productor líder de gas natural, desempeña un papel importante en el suministro de la materia prima para los mercados de exportación de energía a nivel mundial, particularmente a través del gas natural licuado (GNL).",,,57698865,USD,SMART,STK
AMR,ENE_12,energy and utilities,energy_exports,US0207641061,ALPHA METALLURGICAL RESOURCE,25,Contribuye al tema de Exportaciones de Energía.,"El compromiso de Alpha Metallurgical Resources con el tema de las exportaciones de energía es sustancial, como lo demuestra la importante porción de sus ingresos del carbón derivados de las ventas internacionales. Las ventas de carbón metalúrgico de la empresa se realizan principalmente en Asia, Europa y América, y aproximadamente el 78% de los ingresos del carbón en 2024 provienen de ventas fuera de los Estados Unidos. Para demostrar aún más este compromiso, Alpha posee una participación del 65% en la terminal de exportación de carbón DTA en Newport News, Virginia, lo que les proporciona capacidades y flexibilidad de exportación.","[{'name': 'amr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/amr-FY24-10-K.html'}, {'name': 'amr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amr-Q324-10-Q.html'}]",468056568,USD,SMART,STK
MPLX,ENE_12,energy and utilities,energy_exports,US55336V1008,MPLX LP,26,Contribuye al tema de Exportaciones de Energía.,"La participación de MPLX en el tema de Exportaciones de Energía es evidente a través de varias iniciativas estratégicas. La compañía está expandiendo su cadena de valor integrada desde la Cuenca Pérmica hasta la Costa del Golfo, con el objetivo de suministrar GLP al creciente mercado global. MPLX formó una empresa conjunta que combina el Oleoducto Whistler y el proyecto del Oleoducto Rio Bravo, conectando el suministro del Pérmico a mercados incrementales de exportación de GNL y apoyando un mayor desarrollo de oleoductos. Además, MPLX está construyendo instalaciones de fraccionamiento en la Costa del Golfo y una terminal de exportación conjunta, cuya puesta en marcha está prevista para 2028, para suministrar GLP a nivel mundial.","[{'name': 'mplx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mplx-FY24-10-K.html'}]",116339790,USD,SMART,STK
ICE,ENE_12,energy and utilities,energy_exports,US45866F1049,INTERCONTINENTAL EXCHANGE IN,27,Proporciona infraestructura de mercado crítica y servicios de datos que facilitan la negociación y la gestión de riesgos de materias primas energéticas involucradas en exportaciones globales.,,,136370275,USD,SMART,STK
NMM,ENE_12,energy and utilities,energy_exports,MHY622674098,NAVIOS MARITIME PARTNERS LP,28,Opera en el ámbito de las Exportaciones de Energía.,,,362915197,USD,SMART,STK
CNR,ENE_12,energy and utilities,energy_exports,US2189371006,CORE NATURAL RESOURCES INC,29,"La participación en Exportaciones de Energía es un aspecto clave, que contribuye al suministro global de recursos energéticos.","El enfoque de CEIX en las exportaciones de energía es evidente a través de su uso estratégico de la Terminal Marítima CONSOL, que proporciona acceso a los mercados internacionales de carbón. Una parte sustancial del carbón de la empresa se destina al mercado de exportación, con el 60% del total de toneladas vendidas exportadas en 2024 y 2023. A pesar de desafíos como el colapso del puente Francis Scott Key, la empresa mantuvo volúmenes de exportación significativos, demostrando un compromiso de servir a los mercados internacionales.","[{'name': 'ceix-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ceix-Q324-10-Q.html'}, {'name': 'ceix-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ceix-FY24-10-K.html'}]",752731994,USD,SMART,STK
601857,ENE_12,energy and utilities,energy_exports,CNE1000007Q1,PETROCHINA CO LTD-A,30,"Contribuye al suministro energético mundial a través de la producción, procesamiento y distribución internacional de recursos de petróleo y gas natural.",,,165302986,CNH,SEHKNTL,STK
FTI,ENE_12,energy and utilities,energy_exports,GB00BDSFG982,TECHNIPFMC PLC,31,Proporciona tecnologías y servicios submarinos y de superficie esenciales para la producción y el transporte eficiente de recursos energéticos para los mercados globales.,"El compromiso de la empresa con las exportaciones de energía es evidente a través de su importante generación de ingresos de los mercados internacionales, que representaron más del 60 por ciento de los ingresos del segmento en 2024, particularmente en regiones como el Mar del Norte, Asia Pacífico y Medio Oriente. Estos mercados internacionales se benefician de las inversiones de las compañías petroleras nacionales con horizontes de inversión a largo plazo. Además, la importancia estratégica de la seguridad energética a nivel mundial, resaltada por los conflictos geopolíticos y las sanciones económicas, subraya la importancia de los mercados energéticos mundiales.","[{'name': 'fti-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fti-Q225-10-Q.html'}]",262072228,USD,SMART,STK
PBF,ENE_12,energy and utilities,energy_exports,US69318G1067,PBF ENERGY INC-CLASS A,32,"Se dedica a la exportación de diversos productos energéticos refinados, contribuyendo a la cadena de suministro energético global.",,,118786560,USD,SMART,STK
RRC,ENE_12,energy and utilities,energy_exports,US75281A1097,RANGE RESOURCES CORP,33,Desempeña un papel importante en el sector de Exportaciones de Energía.,"Range Resources participa en exportaciones de energía, particularmente a través de sus operaciones de GLP y GNL. La empresa dirige barriles de GLP al mercado internacional de exportación y enfatiza sus capacidades de exportación ventajosas en la Costa Este, lo que la convierte en un proveedor preferido de GNL para los mercados europeos. Range Resources aprovecha su cartera flexible de ventas y transporte tanto de gas como de líquidos para optimizar la mezcla de ventas y generar flujos de efectivo incrementales, con acceso a la Costa Este que la convierte en una fuente preferida para las importaciones europeas de GNL.","[{'name': 'rrc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rrc-Q324-10-Q.html'}, {'name': 'rrc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rrc-FY24-10-K.html'}]",6608450,USD,SMART,STK
LPG,ENE_12,energy and utilities,energy_exports,MHY2106R1100,DORIAN LPG LTD,34,Facilita las exportaciones mundiales de energía a través del transporte marítimo de gas licuado de petróleo (GLP).,"El negocio de la empresa está significativamente ligado a las exportaciones de energía, particularmente GLP, con un enfoque en las exportaciones de EE. UU. a regiones como China, donde las especificaciones son atractivas para las plantas de PDH. El rendimiento de la empresa está estrechamente relacionado con el comercio y la exportación de GLP, y las tarifas de flete se ven directamente afectadas por los aranceles y las políticas comerciales. La empresa destaca la expansión continua de las plantas de fraccionamiento de EE. UU. y la capacidad de las terminales de exportación, junto con un aumento de la producción de nuevos proyectos de gas regionales en el Medio Oriente, lo que apoya aún más su participación en las exportaciones de energía.",,150632114,USD,SMART,STK
AR,ENE_12,energy and utilities,energy_exports,US03674X1063,ANTERO RESOURCES CORP,35,Contribuye al suministro de materias primas energéticas que son vitales para el comercio internacional y los mercados de exportación.,"Antero Resources está estratégicamente posicionada para capitalizar el crecimiento de las exportaciones de GNL a lo largo de la Costa del Golfo, respaldada por compromisos firmes de transporte. La compañía exporta volúmenes de GLP y se beneficiará del crecimiento de la demanda de gas natural impulsado por el GNL. La base de recursos de Antero y sus activos intermedios integrados mejoran aún más su capacidad para participar en oportunidades de exportación de GNL y el crecimiento de la demanda de energía regional a través de expansiones de centros de datos.",,135942630,USD,SMART,STK
EE,ENE_12,energy and utilities,energy_exports,US30069T1016,EXCELERATE ENERGY INC-A,36,Facilita la exportación mundial de gas natural a través de la provisión de infraestructura y servicios de gas natural licuado (GNL) flotante.,"Excelerate Energy está significativamente involucrada en la exportación de energía, particularmente a través del GNL. La empresa se beneficia de acuerdos que respaldan las exportaciones de GNL de EE. UU., como lo demuestra su declaración de que los acuerdos favorables para el GNL de EE. UU. son beneficiosos para ellos. Esto está aún más respaldado por su acuerdo de compra de GNL de EE. UU. a 20 años de la Fase 2 de Plaquemines de Venture Global, que está destinado a sus terminales de Jamaica, y la adquisición de las terminales de GNL de Jamaica fortalece la base de su cartera de suministro de GNL de EE. UU. Además, Excelerate posee transportadores de GNL, como el Excelerate Shenandoah, para respaldar sus acuerdos de suministro.","[{'name': 'ee-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ee-FY24-10-K.html'}]",555711270,USD,SMART,STK
FLNG,ENE_12,energy and utilities,energy_exports,BMG359472021,FLEX LNG LTD,37,"Opera una flota de buques cisterna de gas natural licuado, desempeñando un papel directo en el transporte y la exportación global de recursos energéticos.","El negocio de Flex LNG está estrechamente ligado a las exportaciones de energía, particularmente a través de su flota de buques metaneros, que facilita el transporte de GNL. La empresa discute activamente los flujos de exportación de GNL de EE. UU. a Europa y Asia, señalando el aumento de las exportaciones de GNL de EE. UU. y su impacto en el mercado global, siendo EE. UU. uno de los tres principales exportadores junto con Qatar y Australia. La empresa también destaca el aumento de las exportaciones de GNL de EE. UU. y la influencia de la demanda europea en los flujos comerciales globales de GNL.",,371274438,USD,SMART,STK
CTRA,ENE_12,energy and utilities,energy_exports,US1270971039,COTERRA ENERGY INC,38,Contribuye a las exportaciones mundiales de energía a través de su producción de gas natural y petróleo.,,,5946,USD,SMART,STK
TNK,ENE_12,energy and utilities,energy_exports,BMG8726X1065,TEEKAY TANKERS LTD-CLASS A,39,"Facilita el transporte global de recursos energéticos, incluidos el petróleo crudo y los productos petrolíferos refinados, apoyando las exportaciones internacionales de energía.","Teekay se beneficia del aumento de la demanda de toneladas-milla de buques cisterna, ya que los productores de Oriente Medio, en particular Arabia Saudita, aumentan las exportaciones marítimas debido a la reducción de la demanda interna. El creciente suministro de petróleo tanto de fuentes de la OPEP+ como de fuera de la OPEP+ ayudará a satisfacer el crecimiento de la demanda y proporcionará un crecimiento positivo de la demanda de toneladas-milla de buques cisterna. Las complejidades geopolíticas, como las sanciones a Rusia e Irán, influyen aún más en las ineficiencias comerciales, lo que afecta la demanda de buques cisterna.",,732027252,USD,SMART,STK
CRK,ENE_12,energy and utilities,energy_exports,US2057683029,COMSTOCK RESOURCES INC,40,Las operaciones de la empresa están conectadas al tema de Exportaciones de Energía.,,,241891174,USD,SMART,STK
NOV,ENE_12,energy and utilities,energy_exports,US62955J1034,NOV INC,41,Soporta la infraestructura y las necesidades operativas más amplias que permiten la exportación de recursos energéticos.,,,462100032,USD,SMART,STK
DVN,ENE_12,energy and utilities,energy_exports,US25179M1036,DEVON ENERGY CORP,42,Produce recursos energéticos que contribuyen al suministro disponible para la exportación de energía a nivel mundial.,,,754442,USD,SMART,STK
ARLP,ENE_12,energy and utilities,energy_exports,US01877R1086,ALLIANCE RESOURCE PARTNERS,43,Contribuye al suministro de recursos relacionados con la energía que se comercializan en los mercados internacionales.,,,6857418,USD,SMART,STK
NFG,ENE_12,energy and utilities,energy_exports,US6361801011,NATIONAL FUEL GAS CO,44,Implica operaciones que contribuyen a la exportación de recursos energéticos.,"El compromiso de National Fuel Gas Company con el tema de Exportaciones de Energía es evidente a través de sus actividades de desarrollo de infraestructura y transporte. La empresa diseña y construye proyectos de oleoductos para transportar gas natural para clientes no afiliados en la Cuenca Apalache a mercados en el este de Estados Unidos y Canadá, incluido el Proyecto Tioga Pathway, que tiene como objetivo proporcionar acceso a los mercados del Atlántico Medio. Si bien se reconoce que las exportaciones de GNL se encuentran en máximos históricos y la demanda de GNL en EE. UU. es sustancial, la participación directa de la empresa parece centrarse principalmente en facilitar el transporte a los mercados nacionales y canadienses.","[{'name': 'nfg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nfg-FY24-10-K.html'}]",10199,USD,SMART,STK
METC,ENE_12,energy and utilities,energy_exports,US75134P6007,RAMACO RESOURCES INC-A,45,Se dedica al negocio de las exportaciones de energía.,,,636473750,USD,SMART,STK
BIP,ENE_12,energy and utilities,energy_exports,BMG162521014,BROOKFIELD INFRASTRUCTURE PA,46,Involucra operaciones dentro del tema de la industria de Exportaciones de Energía.,"La participación de la empresa en el tema de Exportaciones de Energía se demuestra a través de su participación en proyectos de infraestructura canadienses destinados a mejorar el acceso a los mercados mundiales, respaldada por el enfoque del gobierno canadiense en la seguridad energética y la diversificación de las relaciones comerciales. Esto incluye el proyecto LNG Canada, que está configurado para aumentar la producción, y otros proyectos de GNL que se espera que añadan más de 5 millones de toneladas anuales de capacidad de exportación para finales de 2028. Además, la exposición de la empresa se destaca por la operación de una instalación de exportación de carbón metalúrgico, así como la venta de una participación del 23% en una terminal de exportación australiana.",,48085842,USD,SMART,STK
