type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
agriculture,sustainable_agriculture,US5355551061,LINDSAY CORP,11,Contribuye a la agricultura sostenible a través de sistemas de riego avanzados que optimizan el uso del agua y mejoran la productividad de los cultivos.,"La empresa demuestra su compromiso con la agricultura sostenible a través de la fabricación y comercialización de sistemas de riego, diseñados para conservar agua, energía y mano de obra. La empresa reconoce que los impulsores globales como la conservación del agua y la sostenibilidad ambiental son cruciales para su negocio. Además, la empresa se centra en la seguridad alimentaria y la conservación de los recursos hídricos, particularmente en los mercados internacionales de riego, donde existe un impulso para priorizar estas iniciativas.",271224,USD,LNN,SMART,STK,True,"[{'name': 'lnn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lnn-FY24-10-K.html'}]"
agriculture,sustainable_agriculture,US0010841023,AGCO CORP,12,"Desarrolla y fabrica equipos y soluciones agrícolas que permiten prácticas agrícolas sostenibles, incluidas tecnologías de agricultura de precisión para un uso optimizado de los recursos y la reducción del impacto ambiental.",,4230,USD,AGCO,SMART,STK,True,
agriculture,sustainable_agriculture,JP3266400005,KUBOTA CORP,13,"Ofrece maquinaria y soluciones agrícolas diseñadas para mejorar la productividad y reducir el impacto ambiental, apoyando así las prácticas agrícolas sostenibles a nivel mundial.",,13905633,JPY,6326,SMART,STK,False,
agriculture,sustainable_agriculture,US9024941034,TYSON FOODS INC-CL A,14,"Se compromete a promover prácticas sostenibles dentro de su extensa cadena de suministro agrícola, centrándose en la responsabilidad ambiental, el bienestar animal y la eficiencia de los recursos en la producción de alimentos.",,275405,USD,TSN,SMART,STK,True,
agriculture,sustainable_agriculture,US9202531011,VALMONT INDUSTRIES,15,Apoya la agricultura sostenible mediante el desarrollo y suministro de sistemas de riego innovadores esenciales para optimizar el uso del agua en las prácticas agrícolas.,,275665,USD,VMI,SMART,STK,True,
agriculture,sustainable_agriculture,US2372661015,DARLING INGREDIENTS INC,16,Contribuye a la temática de Agricultura Sostenible a través de sus operaciones.,,6604385,USD,DAR,SMART,STK,True,
agriculture,sustainable_agriculture,US28414H1032,ELANCO ANIMAL HEALTH INC,17,Proporciona soluciones de salud animal que contribuyen a la eficiencia y la gestión ambiental de la producción ganadera dentro de prácticas agrícolas sostenibles.,,333848211,USD,ELAN,SMART,STK,True,
agriculture,sustainable_agriculture,US4778391049,JBT MAREL CORP,18,"Desarrolla y proporciona soluciones avanzadas de procesamiento de alimentos que contribuyen a la eficiencia de los recursos y la reducción de residuos, apoyando prácticas sostenibles dentro de la cadena de valor agrícola.",,52619008,USD,JBTM,SMART,STK,True,
agriculture,sustainable_agriculture,US92847W1036,VITAL FARMS INC,19,"Se centra en la producción de productos de origen ético y criados en pastos, contribuyendo a prácticas agrícolas sostenibles que priorizan el bienestar animal y la gestión medioambiental.","Vital Farms demuestra su compromiso con la agricultura sostenible a través de sus estándares éticos, que priorizan el bienestar animal y las prácticas agrícolas sostenibles. La empresa cree que sus estándares producen gallinas felices con dietas variadas, que producen mejores huevos. Este compromiso se ve reforzado por su dedicación al Capitalismo Consciente, que enfatiza los resultados positivos a largo plazo para todas las partes interesadas, y su misión de llevar alimentos éticos a la mesa interrumpiendo las normas industriales de alimentos de fábrica.",437449296,USD,VITL,SMART,STK,False,"[{'name': 'vitl-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vitl-Q125-10-Q.html'}, {'name': 'vitl-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/vitl-FY24-10-K.html'}, {'name': 'vitl-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vitl-Q225-10-Q.html'}]"
agriculture,sustainable_agriculture,US0341641035,ANDERSONS INC/THE,20,"Apoya las prácticas agrícolas a través de diversos productos y servicios destinados a mejorar la gestión de nutrientes de los cultivos, la salud del suelo y la sostenibilidad general de las granjas.",,4726335,USD,ANDE,SMART,STK,True,
agriculture,sustainable_agriculture,KYG367381053,FRESH DEL MONTE PRODUCE INC,21,Se centra en implementar prácticas ambientalmente responsables en sus operaciones agrícolas para garantizar la viabilidad a largo plazo y minimizar el impacto ecológico.,,6478290,USD,FDP,SMART,STK,True,
agriculture,sustainable_agriculture,US1280302027,CAL-MAINE FOODS INC,22,"Incorpora prácticas sostenibles en sus operaciones de producción de huevos, centrándose en la gestión responsable de los recursos y el bienestar animal.","El compromiso de Cal-Maine Foods con la Agricultura Sostenible es evidente en su misión de ser el productor más sostenible de huevos de cáscara, respaldado por una 'Cultura de Sostenibilidad' y una gestión responsable de los recursos naturales. Este compromiso se demuestra aún más a través de su Programa de Bienestar Animal y sus esfuerzos para reducir el riesgo de exponer a las parvadas a enfermedades dañinas. Aunque la empresa enfatiza las prácticas sostenibles, no se detallan métodos únicos específicos.",4727574,USD,CALM,SMART,STK,True,
agriculture,sustainable_agriculture,US72147K1088,PILGRIM'S PRIDE CORP,23,Tiene operaciones relacionadas con el tema de la industria de la Agricultura Sostenible.,"Pilgrim's Pride demuestra su enfoque en la Agricultura Sostenible a través de varias iniciativas. La empresa se compromete a mejorar la eficiencia operativa y a apoyar a los productores en la reducción de su huella ambiental, enfatizando la responsabilidad social, la viabilidad económica y la gestión ambiental. Este compromiso se ve reforzado por la obtención de acuerdos a largo plazo con socios minoristas basados en prácticas diferenciadas de sostenibilidad y bienestar animal, así como por el impulso de la eficiencia operativa para reducir su huella de emisiones de gases de efecto invernadero y mejorar la resiliencia climática en toda su cadena de valor. En abril de 2021, la empresa emitió $1.0 mil millones en bonos vinculados a la sostenibilidad, destinados a reducir la intensidad de las emisiones globales de gases de efecto invernadero de Alcance 1 y 2 según objetivos específicos, lo que demuestra una inversión tangible en estos objetivos de sostenibilidad.",71395583,USD,PPC,SMART,STK,True,"[{'name': 'ppc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ppc-FY24-10-K.html'}]"
