type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
transportation and logistics,industrial_transportation,US29273V1008,ENERGY TRANSFER LP,12,"Se dedica al transporte a gran escala de diversas materias primas industriales, incluyendo gas natural, petróleo crudo y productos refinados, a través de una extensa red de oleoductos e infraestructura relacionada.","La empresa demuestra una fuerte conexión con el tema del Transporte Industrial a través de su amplia participación en el transporte y almacenamiento de gas natural, petróleo crudo, líquidos de gas natural (LGN) y productos refinados, que constituyen sus principales actividades comerciales. Esto se ve respaldado además por importantes gastos de capital asignados al transporte de LGN y productos refinados, así como a los servicios de transporte de petróleo crudo. Las operaciones de la empresa incluyen transporte y almacenamiento interestatal e intrastatal, junto con terminalización, comercialización, almacenamiento de LGN, fraccionamiento y regasificación de GNL, todo lo cual subraya su enfoque en el transporte industrial.",37830920,USD,ET,SMART,STK,False,"[{'name': 'et-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/et-Q125-10-Q.html'}, {'name': 'et-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/et-FY24-10-K.html'}]"
transportation and logistics,industrial_transportation,US12541W2098,C.H. ROBINSON WORLDWIDE INC,13,"Proporciona servicios integrales de transporte y logística, facilitando el movimiento eficiente de mercancías y apoyando las operaciones de la cadena de suministro en diversos sectores industriales.",,36320731,USD,CHRW,SMART,STK,True,
transportation and logistics,industrial_transportation,US3021301094,EXPEDITORS INTL WASH INC,14,"Facilita el movimiento global de bienes y materiales industriales a través de servicios integrales de logística y transporte de carga, subrayando su papel en las cadenas de suministro industriales.",,269082,USD,EXPD,SMART,STK,True,
transportation and logistics,industrial_transportation,US4456581077,HUNT (JB) TRANSPRT SVCS INC,15,"Proporciona un conjunto integral de servicios de transporte y logística, facilitando el movimiento eficiente de mercancías para necesidades industriales en varios sectores.",,270825,USD,JBHT,SMART,STK,True,
transportation and logistics,industrial_transportation,US6795801009,OLD DOMINION FREIGHT LINE,16,"Ofrece servicios integrales de transporte LTL (Less Than Truckload) en América del Norte, facilitando las cadenas de suministro industriales y las redes de distribución.",,272667,USD,ODFL,SMART,STK,True,
transportation and logistics,industrial_transportation,US5150981018,LANDSTAR SYSTEM INC,17,"Facilita el movimiento de bienes y materiales en diversas industrias a través de su extensa red de operadores independientes y proveedores de capacidad de terceros, contribuyendo significativamente a la logística de la cadena de suministro industrial.","La participación de Landstar en el tema de Transporte Industrial es evidente a través de su servicio a industrias como repuestos de automóviles, productos de construcción, metales, productos químicos, alimentos, maquinaria pesada y equipo militar. La empresa está involucrando activamente a agentes y dedicando recursos al transporte de cargas pesadas, con un enfoque de ventas dedicado que contribuye al crecimiento generalizado en esta área. El transporte de cargas pesadas es un punto brillante para la empresa, y Landstar generó aproximadamente $113 millones en ingresos por transporte de cargas pesadas durante el primer trimestre de 2025, impulsado por aumentos en los ingresos por carga y volumen.",271344,USD,LSTR,SMART,STK,True,"[{'name': 'lstr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lstr-FY24-10-K.html'}, {'name': 'lstr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lstr-Q324-10-Q.html'}, {'name': 'lstr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lstr-Q225-10-Q.html'}]"
transportation and logistics,industrial_transportation,US78709Y1055,SAIA INC,18,"Ofrece servicios integrales de transporte de carga consolidada (LTL) en toda América del Norte, facilitando el movimiento de bienes industriales y contribuyendo a la eficiencia de las cadenas de suministro.",,40078069,USD,SAIA,SMART,STK,True,
transportation and logistics,industrial_transportation,JP3688370000,NIPPON EXPRESS HOLDINGS INC,19,Proporciona un conjunto integral de servicios de logística y transporte de mercancías cruciales para el movimiento global y la gestión de la cadena de suministro de bienes industriales.,,531981186,JPY,9147,SMART,STK,False,
transportation and logistics,industrial_transportation,US80689H1023,SCHNEIDER NATIONAL INC-CL B,20,"Proporciona un conjunto integral de servicios de transporte y logística, que incluyen soluciones de carga completa, intermodal y logística, apoyando el movimiento de mercancías en diversos sectores industriales.",,271857752,USD,SNDR,SMART,STK,True,
transportation and logistics,industrial_transportation,US7265031051,PLAINS ALL AMER PIPELINE LP,21,"Se dedica al transporte de diversas materias primas industriales, principalmente a través de su extensa infraestructura de oleoductos.","La participación de Plains All American Pipeline en el tema de transporte industrial es evidente a través de sus operaciones de recolección y transporte de petróleo crudo y líquidos de gas natural (LGN) mediante ductos, camiones, barcazas y vagones de ferrocarril en todo Estados Unidos y Canadá. Su modelo de negocio integra la agregación de suministro con infraestructura de transporte, conectando regiones productoras con centros de demanda y terminales de exportación. Esto se ve respaldado además por adquisiciones como Black Knight Midstream y el Cheyenne Pipeline, que mejoran su infraestructura de ductos y facilitan el movimiento de materias primas.",6608417,USD,PAA,SMART,STK,False,"[{'name': 'paa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/paa-FY24-10-K.html'}]"
transportation and logistics,industrial_transportation,US87612G1013,TARGA RESOURCES CORP,22,Proporciona infraestructura crítica para el transporte industrial de gas natural y líquidos de gas natural a través de sus extensos activos de tuberías y procesamiento.,"Targa Resources participa significativamente en el tema del transporte industrial a través de su extensa red de oleoductos, que se utiliza para transportar gas natural, líquidos de gas natural (LGN) y petróleo crudo. El segmento de Logística y Transporte de la compañía desempeña un papel crucial, destacado por volúmenes récord de transporte de LGN por oleoducto, incluyendo un promedio de 961.000 barriles por día. Apoyando esta actividad se encuentra el Oleoducto de LGN Grand Prix, que conecta las posiciones de recolección y procesamiento con las instalaciones posteriores, y la compañía está expandiendo activamente sus sistemas de oleoductos, como la extensión Bull Run, para mejorar la capacidad de extracción de gas.",81671838,USD,TRGP,SMART,STK,True,"[{'name': 'trgp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trgp-Q125-10-Q.html'}]"
transportation and logistics,industrial_transportation,US7835491082,RYDER SYSTEM INC,23,"Ofrece gestión de flotas comerciales, transporte dedicado y soluciones de cadena de suministro, que son integrales para el movimiento eficiente de mercancías dentro del sector del transporte industrial.",,11478,USD,R,SMART,STK,True,
transportation and logistics,industrial_transportation,US6826801036,ONEOK INC,24,"Transporta gas natural y líquidos de gas natural a través de una extensa red de oleoductos, facilitando el movimiento de recursos energéticos críticos para uso industrial y comercial.","El compromiso de ONEOK con el tema del Transporte Industrial es evidente a través de sus operaciones integradas, que incluyen el transporte y la recolección de productos refinados y petróleo crudo. La empresa ha expandido su presencia en la Cuenca Pérmica y Luisiana, mejorando su conectividad con productores clave, cuencas y centros de mercado a través de su extensa red de oleoductos. Esta expansión está respaldada aún más por adquisiciones como Medallion y EnLink, que se espera que impulsen un aumento significativo en los volúmenes de petróleo crudo y llenen la capacidad de recolección existente, alimentando en última instancia sus oleoductos de petróleo crudo de larga distancia que conectan áreas de suministro clave con centros de refinación y comercialización críticos.",10794,USD,OKE,SMART,STK,True,
transportation and logistics,industrial_transportation,US4972661064,KIRBY CORP,25,"Proporciona servicios de transporte y distribución marítima, desempeñando un papel fundamental en el movimiento de productos líquidos a granel y mercancías secas a través de vías navegables interiores.","La participación de la empresa en el tema de Transporte Industrial es sustancial, principalmente debido a su posición como el mayor operador nacional de barcazas cisterna, transportando productos líquidos a granel a través de importantes vías fluviales. Esto incluye el Sistema del río Misisipi, la Vía Navegable Intracoastal del Golfo y las tres costas de los Estados Unidos. La empresa transporta petroquímicos, petróleo negro, productos petrolíferos refinados y productos químicos agrícolas en barcazas cisterna, y también participa en el transporte de productos básicos a granel en el comercio costero de los Estados Unidos. Además, la empresa posee operaciones de desplazamiento y instalaciones de fondeo tanto para barcazas de carga seca como cisterna, así como un astillero para la construcción de remolcadores y la realización de mantenimiento de rutina.",2585501,USD,KEX,SMART,STK,True,"[{'name': 'kex-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kex-FY24-10-K.html'}, {'name': 'kex-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kex-Q125-10-Q.html'}, {'name': 'kex-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kex-Q324-10-Q.html'}]"
transportation and logistics,industrial_transportation,JP3902000003,MITSUBISHI LOGISTICS CORP,26,Participa en servicios logísticos integrales que sustentan el movimiento de bienes y materiales industriales a través de diversos modos de transporte.,,13906067,JPY,9301,SMART,STK,False,
transportation and logistics,industrial_transportation,US3614481030,GATX CORP,27,"Arrienda activos de transporte esenciales, principalmente vagones de ferrocarril, para facilitar el movimiento de mercancías en diversos sectores industriales.","El negocio de GATX se concentra en gran medida en el sector del transporte industrial, principalmente a través de sus segmentos Rail North America y Rail International, que arriendan, operan, administran y comercializan vagones de ferrocarril. Estos vagones, incluidos los vagones cisterna y los vagones de carga, son cruciales para el transporte de materias primas y productos terminados. El enfoque de la empresa en el mercado ferroviario es evidente en sus operaciones, con una parte significativa de sus ingresos derivada de estas actividades relacionadas con el ferrocarril.",7690,USD,GATX,SMART,STK,True,"[{'name': 'gatx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gatx-FY24-10-K.html'}]"
transportation and logistics,industrial_transportation,US9694571004,WILLIAMS COS INC,28,"Implica el transporte de productos energéticos a través de una extensa infraestructura de oleoductos, apoyando las operaciones industriales y las redes de distribución.",,13805,USD,WMB,SMART,STK,True,
transportation and logistics,industrial_transportation,US0396531008,ARCOSA INC,29,Contribuye al transporte industrial al proporcionar productos y servicios de infraestructura esenciales que facilitan el movimiento de bienes y materiales.,"Arcosa participa en el tema del transporte industrial a través de su segmento de Productos de Transporte, que fabrica barcazas fluviales. El libro de pedidos de la empresa para estas barcazas fue sustancial, con valores de $277.0 millones al 30 de junio de 2025 y $280.1 millones al 31 de diciembre de 2024. Estas cifras representan una parte significativa de la capacidad de producción planificada de Arcosa y se extienden hasta 2025 y 2026, con un gran porcentaje de las obligaciones de desempeño que se espera cumplir en 2025.",336517320,USD,ACA,SMART,STK,True,"[{'name': 'aca-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aca-FY24-10-K.html'}, {'name': 'aca-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aca-Q324-10-Q.html'}]"
transportation and logistics,industrial_transportation,US7010941042,PARKER HANNIFIN CORP,30,Está involucrada en el tema de Transporte Industrial.,"La participación de la Compañía en el tema de Transporte Industrial es evidente a través de su enfoque en el mercado del transporte, donde diseña, fabrica y da soporte a soluciones de ingeniería. El transporte se identifica consistentemente como un mercado principal para la empresa, junto con las aplicaciones fuera de carretera. Sin embargo, una disminución reciente en las ventas debido a una menor demanda de los usuarios finales en el mercado del transporte indica un desafío actual en este sector, a pesar de que la empresa tiene la intención de centrarse en oportunidades de negocio en el transporte.",11094,USD,PH,SMART,STK,True,"[{'name': 'ph-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ph-Q225-10-Q.html'}, {'name': 'ph-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ph-Q125-10-Q.html'}]"
transportation and logistics,industrial_transportation,US3138551086,FEDERAL SIGNAL CORP,31,Contribuye a la eficiencia operativa y la seguridad dentro del sector del transporte industrial a través de equipos y soluciones especializadas.,,7381,USD,FSS,SMART,STK,True,
transportation and logistics,industrial_transportation,US9807451037,WOODWARD INC,32,Proporciona sistemas y componentes de control que soportan diversas aplicaciones dentro del sector del transporte industrial.,"El enfoque de la empresa en el transporte industrial es evidente a través de sus mercados clave, que incluyen camiones de gas natural comprimido y licuado en Asia, junto con los sectores marítimos de minería, comercial y de defensa. Si bien las ventas de camiones de gas natural para carretera en China experimentaron un crecimiento interanual significativo, se produjo una disminución en la segunda mitad del año fiscal 2024 debido a factores económicos y niveles de inventario de los clientes. Las ganancias industriales en el año fiscal 2024 se vieron afectadas positivamente por el aumento de la demanda de transporte, específicamente de camiones de gas natural para carretera en China, así como por mejoras operativas.",6761574,USD,WWD,SMART,STK,True,"[{'name': 'wwd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wwd-FY24-10-K.html'}]"
transportation and logistics,industrial_transportation,MHY622674098,NAVIOS MARITIME PARTNERS LP,33,"Participa en el transporte marítimo mundial de diversas materias primas, facilitando el comercio internacional y las cadenas de suministro dentro del sector del transporte industrial.",,362915197,USD,NMM,SMART,STK,False,
