industry,theme,isin_code,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
real estate,innovation_in_real_estate,US31847R1023,FIRST AMERICAN FINANCIAL,11,Participa en actividades relacionadas con el tema de Innovación Inmobiliaria.,"La empresa demuestra su compromiso con la innovación inmobiliaria a través de la implementación de tecnologías, procesos y técnicas innovadoras, incluida la inteligencia artificial, para mejorar la eficiencia, la calidad y la experiencia del cliente en la producción y entrega de sus productos y servicios. Estas iniciativas implican la digitalización y automatización de componentes del proceso de liquidación, la optimización de búsquedas y exámenes, y la conversión de procesos manuales en automatizados. Sin embargo, la empresa reconoce que estas iniciativas innovadoras y la innovación potencialmente disruptiva en la industria inmobiliaria podrían afectar negativamente a la empresa, como por ejemplo, dar lugar a un aumento de las reclamaciones de títulos.",75472985,USD,FAF,SMART,STK,True,,RE4
real estate,innovation_in_real_estate,US8603721015,STEWART INFORMATION SERVICES,12,Impulsa la innovación en el sector inmobiliario mediante el desarrollo de nuevas tecnologías y servicios para transacciones de propiedades y gestión de títulos.,"La empresa demuestra su participación en la Innovación Inmobiliaria a través de la adquisición de BatchLeads y BatchDialer por parte de PropStream, integrando datos de propiedades con herramientas impulsadas por IA y un marcador de contactos. Esta adquisición combina el motor de datos de propiedades y las herramientas de marketing de PropStream con las avanzadas herramientas impulsadas por IA de BatchLeads, proporcionando a los clientes inteligencia de datos inmobiliarios y una mejor segmentación de clientes potenciales. La integración tiene como objetivo crear una plataforma de alcance unificada, mejorando las capacidades de datos y análisis inmobiliarios.",12437,USD,STC,SMART,STK,True,,RE4
real estate,innovation_in_real_estate,US6802231042,OLD REPUBLIC INTL CORP,13,Contribuye al tema de innovación inmobiliaria navegando y adaptando sus servicios establecidos dentro del sector inmobiliario en evolución.,"El compromiso de Old Republic con la Innovación Inmobiliaria es evidente a través de su asociación estratégica con Qualia, donde Qualia adquirió las plataformas de software de liquidación y producción de Old Republic, RamQuest y E-Closing. Esta asociación permite a Old Republic equipar sus oficinas directas y agentes de títulos con herramientas digitales modernas para transacciones. Además, Old Republic está reenfocando sus esfuerzos de desarrollo tecnológico integrando sistemas de prevención de fraudes y tecnologías de IA para fortalecer las medidas de seguridad y mejorar la eficiencia operativa, lo que refleja el énfasis de la empresa en la tecnología para transacciones inmobiliarias fluidas y seguras.",10840,USD,ORI,SMART,STK,True,,RE4
real estate,innovation_in_real_estate,US09260D1072,BLACKSTONE INC,14,"Invierte y desarrolla propiedades que incorporan tecnologías avanzadas y prácticas sostenibles, con el objetivo de modernizar el sector inmobiliario.",,372834689,USD,BX,SMART,STK,True,,RE4
real estate,innovation_in_real_estate,US03027X1000,AMERICAN TOWER CORP,15,"Contribuye a través del desarrollo y la gestión de activos inmobiliarios digitales, como sitios de comunicación y centros de datos, que son críticos para avanzar en la conectividad y las soluciones inmobiliarias innovadoras.",,99831145,USD,AMT,SMART,STK,True,,RE4
real estate,innovation_in_real_estate,US48020Q1076,JONES LANG LASALLE INC,16,"Se enfoca en el desarrollo e implementación de soluciones innovadoras en servicios inmobiliarios, incluida la integración de tecnología y asesoramiento estratégico para clientes que se adaptan a las cambiantes demandas del mercado.","JLL demuestra su compromiso con la innovación inmobiliaria a través de varias vías, incluyendo gastos de capital dirigidos principalmente a software y hardware tecnológico. El segmento JLL Technologies de la empresa enfatiza aún más este enfoque al ofrecer productos, soluciones y servicios de software. Además, JLL invierte en fondos de proptech y en empresas en etapas tempranas y medias, incluso a través de los Fondos JLL Spark Global Ventures, para mejorar su posición dentro del panorama de la tecnología inmobiliaria y mejorar su posición estratégica.",6608072,USD,JLL,SMART,STK,True,"[{'name': 'jll-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jll-Q225-10-Q.html'}, {'name': 'jll-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/jll-FY24-10-K.html'}, {'name': 'jll-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jll-Q125-10-Q.html'}, {'name': 'jll-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/jll-Q324-10-Q.html'}]",RE4
real estate,innovation_in_real_estate,US7502361014,RADIAN GROUP INC,17,"Apoya el mercado inmobiliario en evolución a través de sus servicios de seguro hipotecario y títulos, adaptándose a nuevas tecnologías y procesos que mejoran la eficiencia de las transacciones y la gestión de riesgos.","Radian mantiene su participación en el tema de Innovación Inmobiliaria a través de sus negocios de Tecnología Inmobiliaria, incluida homegenius Real Estate LLC, que proporciona datos, análisis y tecnología a instituciones y consumidores. Estos negocios se clasifican dentro del segmento 'Todos los demás' de la empresa, lo que indica que no son un enfoque estratégico principal. Radian también está invirtiendo en el desarrollo, lanzamiento e implementación de nuevas e innovadoras tecnologías y productos y servicios digitales, aunque no se proporcionan detalles específicos sobre personal dedicado o innovaciones únicas.",6478015,USD,RDN,SMART,STK,True,"[{'name': 'rdn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rdn-Q125-10-Q.html'}, {'name': 'rdn-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rdn-Q324-10-Q.html'}, {'name': 'rdn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rdn-Q225-10-Q.html'}, {'name': 'rdn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rdn-FY24-10-K.html'}]",RE4
real estate,innovation_in_real_estate,US93148P1021,WALKER & DUNLOP INC,18,Sus actividades comerciales están vinculadas al tema de la Innovación Inmobiliaria.,"Walker & Dunlop participa en la innovación inmobiliaria a través del desarrollo y adquisición de recursos tecnológicos, que tienen como objetivo proporcionar soluciones innovadoras y mejorar la experiencia del cliente. La empresa aprovecha la tecnología y la ciencia de datos a través de su filial, Apprise, para mejorar la consistencia, transparencia y velocidad de las tasaciones de propiedades multifamiliares. Además, Walker & Dunlop se enfoca en el crecimiento de su plataforma de préstamos multifamiliares de bajo balance, respaldada por adquisiciones que proporcionan análisis de datos, desarrollo de software y productos tecnológicos.",81828690,USD,WD,SMART,STK,True,"[{'name': 'wd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wd-FY24-10-K.html'}, {'name': 'wd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wd-Q125-10-Q.html'}]",RE4
real estate,innovation_in_real_estate,US75605Y1064,ANYWHERE REAL ESTATE INC,19,Contribuye a la evolución de la industria inmobiliaria a través de la exploración e implementación continuas de nuevas prácticas y tecnologías.,,115258693,USD,HOUS,SMART,STK,False,,RE4
real estate,innovation_in_real_estate,US46187W1071,INVITATION HOMES INC,20,"Emplea estrategias y tecnologías innovadoras dentro del sector inmobiliario para mejorar la adquisición, gestión y experiencia del inquilino de sus propiedades de alquiler unifamiliares.",,264405214,USD,INVH,SMART,STK,True,,RE4
