symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
GXO,TL,LOG,transportation and logistics,logistics_network,US36262G1013,GXO LOGISTICS INC,11,"Opera amplios servicios de logística, que son fundamentales para el funcionamiento eficiente y la optimización de las cadenas de suministro y las redes de distribución globales.","La participación de GXO en la red logística es evidente en sus operaciones principales, que implican el movimiento eficiente de bienes a través de las cadenas de suministro, desde el almacenamiento y la distribución hasta el cumplimiento y la gestión de productos devueltos. Como el mayor proveedor de logística por contrato independiente, GXO ofrece soluciones de cadena de suministro personalizadas y habilitadas por tecnología a escala, enfatizando su papel en la facilitación del flujo ininterrumpido de bienes a través de nodos y vías interconectados.",502252244,USD,SMART,STK,"[{'name': 'gxo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q125-10-Q.html'}]"
SNDR,TL,LOG,transportation and logistics,logistics_network,US80689H1023,SCHNEIDER NATIONAL INC-CL B,12,"Opera una red logística integral, proporcionando soluciones críticas de transporte y cadena de suministro en diversas industrias.","Como empresa de servicios de transporte y logística, el compromiso de sndr con el tema de Red de Logística es evidente en su cartera multimodal que abarca soluciones de carga completa, intermodal y logística. El éxito de la empresa depende de su capacidad para equilibrar su red de transporte y gestionar eficientemente los recursos para prestar estos servicios. sndr aprovecha una plataforma tecnológica integrada que proporciona soporte para la toma de decisiones en tiempo real y basado en datos, ayudando a los asociados a gestionar de forma proactiva los servicios en toda su red y utiliza una densa red de transportistas externos cualificados, lo que solidifica aún más su conexión con la red de logística.",271857752,USD,SMART,STK,"[{'name': 'sndr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sndr-Q125-10-Q.html'}, {'name': 'sndr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sndr-FY24-10-K.html'}]"
XPO,TL,LOG,transportation and logistics,logistics_network,US9837931008,XPO INC,13,"Proporciona servicios integrales de transporte de carga y logística, formando un componente crítico de la Red de Logística más amplia al facilitar el movimiento de mercancías a través de diversas cadenas de suministro.","El compromiso de XPO con el tema de Redes Logísticas se ve subrayado por su posición como una de las redes LTL más grandes de América del Norte, capturando aproximadamente el 9% del mercado estadounidense, estimado en $53 mil millones en 2024. La compañía se identifica explícitamente como una red LTL líder, lo que refleja una inversión significativa y un personal dedicado para mantener sus extensas operaciones logísticas. Esta destacada presencia indica la importancia de las redes logísticas para el negocio de XPO.",93957038,USD,SMART,STK,"[{'name': 'xpo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xpo-Q225-10-Q.html'}]"
MANH,TL,LOG,transportation and logistics,logistics_network,US5627501092,MANHATTAN ASSOCIATES INC,14,"Proporciona soluciones integrales de cadena de suministro y comercio omnicanal que optimizan el inventario, agilizan las operaciones y mejoran la eficiencia dentro de las redes logísticas globales.","La participación de Manhattan Associates con Logistics Network se evidencia en que Google la nombró Socio de Aplicaciones Empresariales en la Nube del Año para cadena de suministro y logística, destacando su papel como innovador dentro del ecosistema de Google Cloud. La empresa desarrolla soluciones de software diseñadas para gestionar las operaciones de cadena de suministro y logística para diversas organizaciones, incluidos los proveedores de logística. Además, sus equipos de I+D se centran en simplificar las implementaciones para reducir el tiempo de obtención de valor y acelerar la adopción de productos Manhattan en centros de distribución y tiendas.",4814485,USD,SMART,STK,"[{'name': 'manh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/manh-Q225-10-Q.html'}]"
UNP,TL,LOG,transportation and logistics,logistics_network,US9078181081,UNION PACIFIC CORP,15,"Opera una vasta red ferroviaria que constituye un componente crítico de la infraestructura logística de América del Norte, facilitando el transporte eficiente de mercancías a través del continente.",,13284,USD,SMART,STK,
CHRW,TL,LOG,transportation and logistics,logistics_network,US12541W2098,C.H. ROBINSON WORLDWIDE INC,16,"Gestiona y optimiza complejas redes logísticas globales, proporcionando soluciones de transporte y cadena de suministro que conectan a expedidores y transportistas a través de varios modos.",,36320731,USD,SMART,STK,
SAIA,TL,LOG,transportation and logistics,logistics_network,US78709Y1055,SAIA INC,17,Contribuye a la eficiencia y conectividad de la red logística al facilitar el movimiento de diversas cargas a través de varias regiones.,"La participación de Saia en el tema de la Red Logística es evidente a través de su negocio principal de prestación de servicios de carga parcial (LTL) como empresa de transporte. La empresa se enfoca en optimizar su red nacional de transporte de línea, construir densidad y expandir su presencia geográfica y de terminales para mejorar el crecimiento rentable y el valor para el cliente. Saia también utiliza herramientas de planificación de red para descubrir soluciones rentables y mejorar la eficiencia de la red, al tiempo que ofrece servicios de valor agregado como carga completa no basada en activos, transporte acelerado y servicios de logística en toda América del Norte.",40078069,USD,SMART,STK,"[{'name': 'saia-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/saia-FY24-10-K.html'}]"
CSX,TL,LOG,transportation and logistics,logistics_network,US1264081035,CSX CORP,18,"Proporciona servicios cruciales de transporte ferroviario, actuando como un elemento central de la red logística para el movimiento de mercancías a lo largo de su extensa huella en América del Norte.",,6150,USD,SMART,STK,
YMM,TL,LOG,transportation and logistics,logistics_network,US35969L1089,FULL TRUCK ALLIANCE -SPN ADR,19,"Facilita el movimiento eficiente de mercancías al conectar cargadores y transportistas a través de su plataforma digital, formando un componente vital de la red logística.","El negocio principal de la empresa gira en torno a una plataforma que conecta a expedidores y transportistas, con una parte importante de los ingresos ligada a esta red logística. La empresa tiene como objetivo fortalecer el desarrollo de ecosistemas de expedidores y transportistas, expandirse a nuevos mercados e impulsar la transformación digital en el sector de la logística. La empresa se enfoca en ayudar a los expedidores a reducir los costos de logística y mejorar la eficiencia operativa en la industria del transporte de carga por carretera, y está mejorando la eficiencia de la correspondencia entre oferta y demanda y mejorando la experiencia de servicio de extremo a extremo para consolidar su posición de liderazgo en el mercado de carga de larga distancia.",498287734,USD,SMART,STK,
BRK B,TL,LOG,transportation and logistics,logistics_network,US0846707026,BERKSHIRE HATHAWAY INC-CL B,20,"Contribuye a la red logística más amplia a través de la propiedad de un importante sistema ferroviario de carga y diversas empresas de cadena de suministro y distribución, facilitando el movimiento de diversos bienes en América del Norte.","La participación de Berkshire Hathaway en el tema de la Red de Logística se demuestra a través de sus subsidiarias, principalmente McLane Company, que opera un negocio de distribución mayorista que proporciona productos de consumo de comestibles y no alimenticios a minoristas y restaurantes. Además, Charter Brokerage proporciona servicios de logística de terceros principalmente para las industrias del petróleo y los productos químicos. La compañía también alquila equipos de transporte a través de XTRA.",72063691,USD,SMART,STK,"[{'name': 'brk.b-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/brk.b-Q225-10-Q.html'}]"
WERN,TL,LOG,transportation and logistics,logistics_network,US9507551086,WERNER ENTERPRISES INC,21,"Ofrece servicios integrales de transporte y logística, desempeñando un papel crucial en el movimiento de mercancías y la eficiencia de la red logística.","El compromiso de Werner con el tema de la Red de Logística es evidente en su operación dentro del sector logístico de la industria del transporte, donde se enfoca en la gestión de los requisitos de transporte y la optimización de las necesidades de transporte para clientes individuales. La empresa proporciona una red de entrega en América del Norte, capacidad de camiones adicional y modos de transporte alternativos. Este es un aspecto clave del negocio de Werner, como lo demuestra la dependencia del segmento de Logística de Werner de asociados calificados y sistemas de información.",276009,USD,SMART,STK,"[{'name': 'wern-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wern-Q125-10-Q.html'}, {'name': 'wern-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wern-Q225-10-Q.html'}]"
COLD,TL,LOG,transportation and logistics,logistics_network,US03064D1081,AMERICOLD REALTY TRUST INC,22,"Proporciona infraestructura de almacén con temperatura controlada esencial para la red global de logística de cadena de frío, apoyando el almacenamiento y la distribución de productos perecederos.","Americold se identifica como líder mundial en almacenamiento y logística con control de temperatura, operando 237 almacenes en América del Norte, Europa y Asia-Pacífico. El negocio principal de la empresa se centra en la propiedad, operación, adquisición y desarrollo de almacenes con control de temperatura, además de proporcionar servicios de transporte para los productos de los clientes. Dada su posición de liderazgo mundial y su extensa red de almacenes, Americold exhibe un compromiso sustancial con la red logística.",302902503,USD,SMART,STK,"[{'name': 'cold-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cold-Q225-10-Q.html'}]"
EXPD,TL,LOG,transportation and logistics,logistics_network,US3021301094,EXPEDITORS INTL WASH INC,23,"Gestiona y optimiza complejas cadenas de suministro globales a través de su extensa red logística, permitiendo el movimiento eficiente de bienes en diversas industrias.",,269082,USD,SMART,STK,
LSTR,TL,LOG,transportation and logistics,logistics_network,US5150981018,LANDSTAR SYSTEM INC,24,Contribuye significativamente a la red logística al proporcionar soluciones de transporte integrales a través de su extensa red de agentes independientes y operadores propietarios.,"La participación de Landstar en la red logística es evidente a través de su papel como proveedor habilitado por la tecnología de soluciones integradas de gestión de transporte, utilizando una red de agentes y proveedores de capacidad externos para servir a una amplia gama de clientes. El enfoque de la empresa sigue siendo acelerar su modelo de negocio y ejecutar iniciativas de crecimiento estratégico dentro de esta red. Landstar también proporciona capacidad de camiones a otras empresas de transporte, 3PL y corredores de camiones, y ofrece servicios en todo Estados Unidos, Canadá, México y otros países.",271344,USD,SMART,STK,
STAG,TL,LOG,transportation and logistics,logistics_network,US85254J1025,STAG INDUSTRIAL INC,25,Proporciona propiedades inmobiliarias industriales esenciales que sirven como infraestructura crítica para la operación eficiente de las redes logísticas.,"La participación de STAG en la Red Logística es evidente a través de sus actividades de arrendamiento y la composición de su base de inquilinos. La empresa deriva una parte de sus ingresos anuales de alquiler base de inquilinos de la industria de Carga Aérea y Logística, que identifica como una industria de inquilinos principal. Además, STAG reconoce la importancia de la infraestructura de transporte y el impacto de la diversificación de las cadenas de suministro, ejemplificado por un nuevo inquilino de 3PL que distribuye mercancías que llegan al Puerto de Savannah. La cartera de la empresa incluye espacios de almacén y distribución, con actividad reciente que incluye un nuevo arrendamiento de dicho espacio en Carolina del Sur, lo que refleja su papel en el apoyo a las operaciones logísticas.",86792819,USD,SMART,STK,"[{'name': 'stag-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stag-Q225-10-Q.html'}]"
9101,TL,LOG,transportation and logistics,logistics_network,JP3753000003,NIPPON YUSEN KK,26,"Proporciona servicios integrales de envío y logística a nivel mundial, desempeñando un papel crucial en la conexión de las cadenas de suministro y la facilitación del movimiento de mercancías en todo el mundo.",,13906045,JPY,SMART,STK,
9104,TL,LOG,transportation and logistics,logistics_network,JP3362700001,MITSUI OSK LINES LTD,27,"Proporciona amplios servicios de transporte marítimo, formando un componente crítico de las redes logísticas globales al conectar las cadenas de suministro a través de los continentes.",,13906050,JPY,SMART,STK,
TRN,TL,LOG,transportation and logistics,logistics_network,US8965221091,TRINITY INDUSTRIES INC,28,"Apoya a la Red Logística a través de la producción y arrendamiento de vagones de ferrocarril, que son esenciales para el transporte de mercancías en diversas industrias.","La empresa demuestra su participación en el tema de la Red Logística a través de varias actividades clave. La empresa proporciona servicios de logística como parte de su segmento de Alquiler de Vagones y Servicios, y ofrece servicios digitales y de logística. También monitorean activamente el tráfico ferroviario y por carretera en la frontera entre EE. UU. y México para mitigar las interrupciones en la cadena de suministro y la red de transporte, y evalúan alternativas de transporte. Además, la empresa discute las interrupciones en la red de transporte utilizada para transportar piezas y componentes, lo que indica su gestión y monitoreo activos de la logística para mitigar las interrupciones.",12974,USD,SMART,STK,"[{'name': 'trn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trn-Q225-10-Q.html'}]"
JBHT,TL,LOG,transportation and logistics,logistics_network,US4456581077,HUNT (JB) TRANSPRT SVCS INC,29,Opera como un participante clave en la red logística global al proporcionar soluciones integrales de transporte y cadena de suministro.,,270825,USD,SMART,STK,
CVNA,TL,LOG,transportation and logistics,logistics_network,US1468691027,CARVANA CO,30,"Impulsa el desarrollo y la optimización de una extensa red logística para gestionar el proceso integral de adquisición, reacondicionamiento y entrega de vehículos usados directamente a los consumidores.","El compromiso de Carvana con el tema de Red Logística es evidente a través de su extensa infraestructura y enfoque estratégico. La compañía aprovecha una red logística en crecimiento que abarca 316 áreas estadísticas metropolitanas y una red de distribución interna que atiende a más del 80% de la población de EE. UU. Esta red está respaldada por software de logística propietario y una red de entrega a nivel nacional basada en un modelo de 'centro y radio', que conecta los sitios de reacondicionamiento con las máquinas expendedoras y los centros a través de su flota, y les permite administrar de manera eficiente ubicaciones, rutas, camiones y conductores, optimizando dinámicamente la velocidad y el costo. Carvana tiene la intención de expandir aún más su red logística interna para transportar automóviles a sus centros de inspección y reacondicionamiento a medida que escala.",274144952,USD,SMART,STK,"[{'name': 'cvna-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvna-Q125-10-Q.html'}, {'name': 'cvna-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cvna-FY24-10-K.html'}]"
FR,TL,LOG,transportation and logistics,logistics_network,US32054K1034,FIRST INDUSTRIAL REALTY TR,31,"Se enfoca en poseer y operar propiedades industriales críticas para el funcionamiento eficiente de las cadenas de suministro y la distribución, sirviendo como un componente fundamental de la red logística.","La participación de la empresa en las redes logísticas es evidente en su estrategia de mercado, que se concentra en 15 mercados logísticos clave dentro de los Estados Unidos, con un énfasis particular en las áreas costeras. Estos mercados se seleccionan por sus prometedores fundamentos de bienes raíces industriales, que incluyen una creciente demanda industrial y una oferta futura limitada, lo que puede generar un crecimiento de los alquileres a largo plazo. El enfoque de la empresa en estos mercados logísticos específicos, conocidos por entornos económicos favorables y diversificados, tiene como objetivo capitalizar el crecimiento anticipado en la actividad de distribución impulsado por el comercio global y el consumo local.",7330,USD,SMART,STK,"[{'name': 'fr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fr-Q225-10-Q.html'}]"
9147,TL,LOG,transportation and logistics,logistics_network,JP3688370000,NIPPON EXPRESS HOLDINGS INC,32,"Opera una extensa red logística global, proporcionando soluciones integrales de transporte y gestión de la cadena de suministro que conectan diversas industrias en todo el mundo.",,531981186,JPY,SMART,STK,
ODFL,TL,LOG,transportation and logistics,logistics_network,US6795801009,OLD DOMINION FREIGHT LINE,33,"Desempeña un papel vital en la conexión de cadenas de suministro y la facilitación del movimiento de mercancías, fortaleciendo así la red logística general.",,272667,USD,SMART,STK,
BCO,TL,LOG,transportation and logistics,logistics_network,US1096961040,BRINK'S CO/THE,34,"Opera redes logísticas seguras para el transporte y la gestión global de efectivo, objetos de valor y otros activos sensibles, apoyando las operaciones financieras y comerciales.","El compromiso de Brink con el tema de la Red de Logística es evidente a través de Brink's Global Services (BGS), que ofrece transporte internacional seguro, recogida, embalaje, despacho de aduanas, almacenamiento seguro en bóveda y gestión de inventario de productos de alto valor. La red global de la empresa, la base de clientes y la experiencia en gestión de riesgos y logística subrayan aún más su participación. Brink también proporciona servicios de transporte de efectivo utilizando transporte de vehículos blindados, destacando su papel en la logística segura.",11475,USD,SMART,STK,"[{'name': 'bco-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bco-Q324-10-Q.html'}, {'name': 'bco-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bco-FY24-10-K.html'}]"
W,TL,LOG,transportation and logistics,logistics_network,US94419L1017,WAYFAIR INC- CLASS A,35,"Aprovecha y optimiza una red logística integral para el almacenamiento, transporte y entrega de última milla eficientes de diversos muebles para el hogar a los clientes, lo que es fundamental para sus operaciones de comercio electrónico.","La participación de Wayfair en el tema de la Red de Logística es evidente a través de su red de logística patentada, CastleGate, que abarca la logística de entrada, el almacenamiento y el cumplimiento de salida. CastleGate abarca más de 60 edificios con 22 millones de pies cuadrados en varios continentes, respaldados por tecnología y operaciones exhaustivas. Los gastos de capital se asignan a la compra de equipos y mejoras para almacenes arrendados dentro de la red logística en expansión de Wayfair, lo que representa una parte de los ingresos netos.",168812158,USD,SMART,STK,"[{'name': 'w-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/w-Q125-10-Q.html'}, {'name': 'w-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/w-FY24-10-K.html'}, {'name': 'w-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/w-Q225-10-Q.html'}]"
KNX,TL,LOG,transportation and logistics,logistics_network,US4990491049,KNIGHT-SWIFT TRANSPORTATION,36,Contribuye a la eficiencia y funcionalidad de las redes logísticas al proporcionar amplios servicios de transporte.,"La participación de Knight-Swift en el tema de la Red Logística es evidente a través de la operación de una red integral que abarca los segmentos de carga completa (Truckload), carga parcial (LTL) e intermodal. El enfoque de la empresa incluye la optimización de la eficiencia de la red intermodal, la reducción de los movimientos en vacío y la gestión del transporte de carga (drayage), junto con la gestión de las cadenas de suministro de los clientes y la adaptación a los cambios en las políticas comerciales. Destacando este compromiso, Knight-Swift está expandiendo activamente su red LTL, abriendo siete nuevas ubicaciones en un trimestre reciente, con planes de crecimiento adicional y un enfoque estratégico en la mejora de los ingresos y los márgenes en 2025. La empresa también aborda los desafíos en el mercado intermodal y gestiona los niveles de inventario, demostrando un enfoque integral en la gestión de la red logística.",288039996,USD,SMART,STK,
SPSC,TL,LOG,transportation and logistics,logistics_network,US78463M1071,SPS COMMERCE INC,37,"Proporciona soluciones de gestión de la cadena de suministro basadas en la nube, que incluyen servicios de Intercambio Electrónico de Datos (EDI) y cumplimiento, que agilizan y optimizan el flujo de bienes dentro de las redes logísticas.","La participación de SPS Commerce en el tema de la Red de Logística es evidente a través de la operación de una red que supera los 50.000 proveedores, empresas de logística y organizaciones compradoras en diversos sectores como el minorista, la distribución, la alimentación y la fabricación. Los servicios de gestión de la cadena de suministro basados en la nube de la empresa facilitan la comunicación y la colaboración entre minoristas, distribuidores, proveedores y empresas de logística. SPS Commerce enfatiza su posición única en el apoyo a las relaciones entre socios comerciales al simplificar cómo estas entidades gestionan y comparten datos a través de canales minoristas omnicanal, con una cartera de productos que incluye cumplimiento, análisis y facturación electrónica.",74685916,USD,SMART,STK,"[{'name': 'spsc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/spsc-Q324-10-Q.html'}]"
GCT,TL,LOG,transportation and logistics,logistics_network,KYG386441037,GIGACLOUD TECHNOLOGY INC - A,38,"Opera dentro de la red logística, contribuyendo a la infraestructura y los procesos que facilitan el movimiento y la entrega de mercancías.","El negocio de GCT depende significativamente de su red logística, ya que los vendedores utilizan las capacidades de la cadena de suministro de la empresa para establecer canales de venta en el extranjero sin necesidad de invertir en su propia logística o centros de cumplimiento. La empresa se centra en expandir su base de vendedores permitiéndoles utilizar su red de cumplimiento y logística para el envío y manejo de mercancías de gran tamaño. Además, GCT ha realizado adquisiciones estratégicas y mantiene asociaciones con proveedores de servicios de envío, transporte por camión y carga para mejorar sus capacidades de cadena de suministro, cumplimiento y logística, permitiendo el acceso a mercados globales clave.",579848128,USD,SMART,STK,"[{'name': 'gct-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gct-Q125-10-Q.html'}]"
R,TL,LOG,transportation and logistics,logistics_network,US7835491082,RYDER SYSTEM INC,39,"Proporciona gestión integral de flotas, soluciones de cadena de suministro y servicios de transporte dedicados, que son integrales para la optimización y operación de redes logísticas complejas.","La participación de la compañía en el tema de la Red Logística es evidente en su beneficio de tendencias seculares favorables a largo plazo en soluciones de logística y transporte, que brindan oportunidades de crecimiento de ingresos y ganancias a largo plazo. Este beneficio ayuda a mitigar el impacto de las condiciones débiles del mercado en las ventas de vehículos usados y la demanda de alquileres comerciales. Sin embargo, la compañía también está experimentando vientos en contra en las ventas a corto plazo que reflejan la prolongada desaceleración del transporte de mercancías y la incertidumbre económica general.",11478,USD,SMART,STK,"[{'name': 'r-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/r-Q225-10-Q.html'}]"
