industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
energy and utilities,energy_solutions,US14448C1045,CARRIER GLOBAL CORP,21,"Ofrece soluciones energéticamente eficientes de calefacción, ventilación, aire acondicionado y refrigeración que contribuyen a reducir el consumo de energía y mejorar el rendimiento de los edificios.","Carrier Global Corporation enfatiza su posición como líder mundial en soluciones inteligentes de clima y energía. Esto está respaldado por el enfoque de la empresa en proporcionar soluciones de ciclo de vida habilitadas digitalmente y la expansión de su cartera a través de adquisiciones como el negocio de soluciones climáticas de Viessmann. Además, los segmentos de Soluciones Climáticas de Carrier en las Américas, Europa y Asia Pacífico se dedican a mejorar la eficiencia energética y la sostenibilidad, lo que refleja el compromiso de la empresa en esta área.",410755397,USD,CARR,SMART,STK,True,"[{'name': 'carr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/carr-Q225-10-Q.html'}, {'name': 'carr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/carr-Q324-10-Q.html'}, {'name': 'carr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/carr-Q125-10-Q.html'}, {'name': 'carr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/carr-FY24-10-K.html'}]",EN5
energy and utilities,energy_solutions,CA1366351098,CANADIAN SOLAR INC,22,"Desarrolla, fabrica y despliega productos fotovoltaicos solares y soluciones de almacenamiento de energía, contribuyendo significativamente a la infraestructura global de energía renovable.",,41498671,USD,CSIQ,SMART,STK,False,,EN5
energy and utilities,energy_solutions,US1667641005,CHEVRON CORP,23,"Desarrolla e implementa soluciones energéticas con menor contenido de carbono, como la captura de carbono, la producción de hidrógeno y los biocombustibles avanzados, con el objetivo de transformar los sistemas energéticos.",,5684,USD,CVX,SMART,STK,True,,EN5
energy and utilities,energy_solutions,AN8068571086,SLB LTD,24,"Entrega tecnologías y servicios avanzados vitales para optimizar la exploración, el desarrollo y la producción en todo el sector energético, incluyendo el petróleo y gas tradicionales y las emergentes soluciones de nueva energía.","El compromiso de SLB con las Soluciones Energéticas es evidente a través de la provisión de soluciones que abordan desafíos operativos a lo largo del ciclo de vida de los activos energéticos, enfatizando un enfoque adaptado a cada cuenca y capacidades de integración. El enfoque de la empresa en la optimización de costos y la creciente adopción de productos y soluciones digitales, incluida la plataforma de datos e IA Lumi, refleja un compromiso con la mejora de la eficiencia energética y la optimización de las operaciones. Los ingresos de Digital & Integration de SLB experimentaron un aumento interanual del 10%, impulsado por un crecimiento del 20% en tecnologías digitales, lo que demuestra una dedicación a las soluciones energéticas a través de avances digitales y colaboraciones estratégicas.",12200,USD,SLB,SMART,STK,True,"[{'name': 'slb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/slb-Q324-10-Q.html'}, {'name': 'slb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/slb-FY24-10-K.html'}]",EN5
energy and utilities,energy_solutions,US26441C2044,DUKE ENERGY CORP,25,"Proporciona infraestructura y servicios energéticos avanzados, incluidas tecnologías de red inteligente e integración de energías renovables, para mejorar la confiabilidad de la red y ofrecer opciones sostenibles a los clientes.",,110176011,USD,DUK,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US02361E1082,AMERESCO INC-CL A,26,"Ofrece soluciones energéticas integradas que abarcan energías renovables, eficiencia energética y modernización de infraestructuras para apoyar la sostenibilidad y la reducción de costes operativos.","El enfoque de Ameresco en soluciones energéticas es evidente a través de su dedicación a ayudar a los clientes a navegar la transición energética, ofreciendo una cartera integral que incluye la implementación de soluciones inteligentes de eficiencia energética, la modernización de infraestructuras obsoletas y el desarrollo de recursos energéticos distribuidos. Los ingresos de la compañía se derivan principalmente de proyectos de eficiencia energética, que implican el diseño, la ingeniería y la instalación de equipos para mejorar la eficiencia y el control de la infraestructura energética de una instalación. Ameresco capta importantes oportunidades emergentes para proporcionar soluciones de infraestructura energética a sectores en rápido crecimiento en los EE. UU. y Europa, impulsadas por la creciente demanda de electricidad, el aumento de las tarifas de los servicios públicos y la inestabilidad de la red, lo que posiciona a la compañía para servir a las dinámicas oportunidades de mercado del futuro.",77456695,USD,AMRC,SMART,STK,False,"[{'name': 'amrc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amrc-Q125-10-Q.html'}, {'name': 'amrc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amrc-Q225-10-Q.html'}]",EN5
energy and utilities,energy_solutions,US30069T1016,EXCELERATE ENERGY INC-A,27,Contribuye al tema de Soluciones Energéticas acelerando el despliegue y la optimización de la infraestructura y los servicios energéticos.,"Excelerate Energy participa en el sector energético a través de sus soluciones de gas natural licuado (GNL), ofreciendo servicios integrados a lo largo de la cadena de valor del GNL. El enfoque de la empresa incluye la operación de una flota de unidades flotantes de almacenamiento y regasificación (FSRU), el desarrollo de infraestructura de importación de GNL y el suministro de GNL y gas natural, con un compromiso con el segmento downstream de la cadena de valor del GNL. Excelerate cree que el acceso a fuentes de energía como el GNL es fundamental para ayudar a los mercados en sus esfuerzos de descarbonización, al tiempo que promueve el crecimiento económico y mejora la calidad de vida al suministrar gas natural regasificado. La empresa es un gran proveedor de capacidad de GNL regasificado en varios países, cambiando la forma en que el mundo accede a energía más limpia y confiable.",555711270,USD,EE,SMART,STK,False,"[{'name': 'ee-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ee-Q125-10-Q.html'}, {'name': 'ee-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ee-FY24-10-K.html'}]",EN5
energy and utilities,energy_solutions,US8425871071,SOUTHERN CO/THE,28,"Proporciona un conjunto integral de soluciones energéticas, incluyendo electricidad y gas natural, para satisfacer las diversas necesidades de su base de clientes.",,12300,USD,SO,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US25746U1097,DOMINION ENERGY INC,29,"Proporciona infraestructura y servicios energéticos integrales, desempeñando un papel fundamental en el suministro de energía fiable y sostenible a sus clientes.",,6327,USD,D,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US2333311072,DTE ENERGY COMPANY,30,"Ofrece una cartera diversa de soluciones energéticas, que abarcan la gestión eficiente de la energía, la integración de energías renovables y el desarrollo de infraestructura, para satisfacer las necesidades cambiantes de su base de clientes.","El compromiso de DTE Energy con las Soluciones Energéticas es evidente a través de su segmento DTE Vantage, que se enfoca en la entrega de soluciones energéticas personalizadas a clientes industriales, comerciales e institucionales. La compañía está dirigiendo importantes inversiones de capital hacia este segmento, con aproximadamente $1 mil millones a $2 mil millones destinados a proyectos de energía renovable y soluciones energéticas personalizadas. DTE Vantage está desarrollando activamente proyectos adicionales de gas natural renovable y otras soluciones energéticas específicas para clientes, incluyendo proyectos con Ford Motor Company y un proyecto de cogeneración de 42 megavatios para un gran cliente industrial, respaldado por contratos de tarifa fija a largo plazo.",6585,USD,DTE,SMART,STK,True,"[{'name': 'dte-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dte-FY24-10-K.html'}, {'name': 'dte-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dte-Q225-10-Q.html'}, {'name': 'dte-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dte-Q324-10-Q.html'}, {'name': 'dte-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dte-Q125-10-Q.html'}]",EN5
energy and utilities,energy_solutions,US05722G1004,BAKER HUGHES CO,31,"Ofrece tecnologías y servicios avanzados destinados a optimizar la producción de energía, mejorar la eficiencia e impulsar la transición hacia sistemas energéticos más sostenibles.","La empresa demuestra su compromiso con las Soluciones Energéticas a través de su enfoque en la entrega de soluciones innovadoras, de bajas emisiones y rentables en toda la cadena de valor energética. Esto incluye la participación en nuevas soluciones energéticas como hidrógeno, geotérmica, CCUS, almacenamiento de energía, energía limpia y reducción de emisiones. La empresa también considera la transición a nuevas soluciones energéticas como un motor de crecimiento estructural y monitorea las condiciones del mercado y los riesgos potenciales, incluidos los cambios en las regulaciones y los incentivos fiscales u otros relacionados con las nuevas soluciones energéticas.",281316445,USD,BKR,SMART,STK,True,"[{'name': 'bkr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q324-10-Q.html'}, {'name': 'bkr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bkr-Q225-10-Q.html'}, {'name': 'bkr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bkr-FY24-10-K.html'}]",EN5
energy and utilities,energy_solutions,US2310211063,CUMMINS INC,32,"Desarrolla y suministra una amplia cartera de productos de generación de energía y tecnologías de energía alternativa, contribuyendo a soluciones energéticas sostenibles y eficientes en diversas aplicaciones.","El papel de Cummins como líder mundial en soluciones de energía es evidente a través de sus diversos segmentos de negocio, que incluyen Motores, Componentes, Distribución, Sistemas de Energía y Accelera. La oferta de productos de la empresa, desde diésel y gas natural avanzados hasta trenes motrices eléctricos e híbridos, demuestra un enfoque integral de las soluciones energéticas. Específicamente, el segmento Accelera se enfoca en sistemas de energía electrificados, incorporando tecnologías de baterías, celdas de combustible y trenes motrices eléctricos, junto con tecnologías de producción de hidrógeno, reforzando el compromiso de la empresa con soluciones energéticas innovadoras.",6207,USD,CMI,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US30161N1019,EXELON CORP,33,"Se enfoca en ofrecer diversos recursos energéticos y servicios innovadores de gestión de energía a los clientes, mejorando la resiliencia de la red y promoviendo prácticas de energía sostenible.",,11000,USD,EXC,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US69331C1080,P G & E CORP,34,"Contribuye a las soluciones energéticas a través del desarrollo de infraestructura de red, la integración de recursos renovables y la promoción de programas de eficiencia energética para su área de servicio.",,2586035,USD,PCG,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US0997241064,BORGWARNER INC,35,"Desarrolla y suministra soluciones y componentes de propulsión avanzados que mejoran la eficiencia energética y apoyan la electrificación en diversas plataformas de vehículos, contribuyendo a la gestión sostenible de la energía en la industria automotriz.","BorgWarner se identifica como un líder mundial en productos de tecnología limpia y eficiente para vehículos de combustión, híbridos y eléctricos. Reforzando esta posición, BorgWarner completó la adquisición de Hubei Surpass Sun Electric, que incluye sus negocios de soluciones para vehículos eléctricos, redes inteligentes y energía inteligente.",5336,USD,BWA,SMART,STK,True,"[{'name': 'bwa-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/bwa-Q324-10-Q.html'}, {'name': 'bwa-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bwa-FY24-10-K.html'}]",EN5
energy and utilities,energy_solutions,US2091151041,CONSOLIDATED EDISON INC,36,Se enfoca en ofrecer servicios y tecnologías integrales que optimizan el consumo de energía y promueven prácticas de energía sostenible para sus clientes.,,6691,USD,ED,SMART,STK,True,,EN5
energy and utilities,energy_solutions,US2810201077,EDISON INTL,37,Participa en el desarrollo y despliegue de tecnologías e infraestructura energéticas avanzadas para proporcionar soluciones de energía sostenibles y eficientes.,"La participación de Edison International con Energy Solutions se canaliza principalmente a través de su filial, Trio, una firma global de asesoría energética. Trio ofrece soluciones integradas de sostenibilidad y energía a clientes comerciales, industriales e institucionales. Si bien la visión de Edison International incluye la entrega de energía limpia y el avance de la electrificación, las actividades de Trio en soluciones energéticas no son lo suficientemente materiales como para ser reportadas como un segmento de negocio separado, lo que indica que no es una prioridad estratégica de primer nivel para la empresa.",11899,USD,EIX,SMART,STK,True,"[{'name': 'eix-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eix-Q225-10-Q.html'}, {'name': 'eix-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eix-Q125-10-Q.html'}, {'name': 'eix-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/eix-Q324-10-Q.html'}]",EN5
energy and utilities,energy_solutions,US72919P2020,PLUG POWER INC,38,Ofrece soluciones que contribuyen al tema de Soluciones Energéticas.,"Plug se dedica a facilitar la transición hacia un mundo cada vez más electrificado a través de innovadoras soluciones de hidrógeno y celdas de combustible. La compañía espera respaldar sus productos y clientes con un ecosistema verticalmente integrado que abarca la producción, el transporte, el almacenamiento, la manipulación, la dispensación y el uso de hidrógeno para aplicaciones de movilidad y energía. La solución GenKey de Plug combina la energía de celda de combustible GenDrive o GenSure con el servicio posventa GenFuel y GenCare, proporcionando una transición simplificada a la energía de celda de combustible para sus clientes.",88385302,USD,PLUG,SMART,STK,False,"[{'name': 'plug-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/plug-FY24-10-K.html'}]",EN5
